,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_11_wo_cat,FairDEN_v1_min_pts_13_wo_cat,FairDEN_v1_min_pts_15_wo_cat,FairDEN_v1_min_pts_10_wo_cat
178,1,0,0,0,1,0
179,0,0,1,1,0,1
180,0,0,1,1,0,1
181,1,0,1,1,0,1
182,0,0,1,1,0,1
183,0,0,0,0,1,0
184,1,1,1,1,0,1
185,0,0,0,0,1,0
186,1,0,0,0,1,0
187,0,0,0,0,1,0
188,1,0,0,0,1,0
189,1,0,1,1,0,1
190,0,0,0,0,1,0
191,0,0,0,0,1,0
192,1,0,1,1,0,1
193,0,0,0,0,1,0
194,0,0,0,0,1,0
195,0,0,0,0,1,0
196,0,0,0,0,1,0
197,0,0,0,0,0,0
198,0,0,1,1,0,1
199,1,0,0,0,1,0
200,0,0,0,0,1,0
201,0,0,0,0,1,0
202,0,0,0,0,1,0
203,1,0,0,0,1,0
204,0,0,0,0,1,0
205,0,0,0,0,1,0
206,0,0,0,0,1,0
207,0,0,0,0,1,0
208,1,0,0,0,1,0
209,1,0,1,1,0,1
210,0,0,1,1,0,1
211,1,0,0,0,1,0
212,1,0,0,0,1,0
213,0,0,0,0,1,0
214,0,0,0,0,1,0
215,0,0,1,1,0,1
216,0,0,0,0,1,0
217,0,0,1,1,0,1
218,1,0,1,0,0,1
219,0,0,1,1,0,1
220,1,0,0,0,1,0
221,0,0,0,0,1,0
222,0,0,0,0,1,0
223,0,0,0,0,1,0
224,0,0,0,0,1,0
225,0,0,0,0,1,0
226,0,0,0,0,1,0
227,1,0,0,0,1,0
228,1,0,1,1,0,1
229,0,0,0,0,1,0
230,0,0,0,0,1,0
231,1,0,0,0,1,0
232,1,0,0,0,1,0
233,1,0,1,1,0,1
234,1,0,0,0,1,0
235,0,0,0,0,1,0
236,0,0,0,0,1,0
237,0,0,0,0,1,0
238,0,0,1,1,0,1
239,0,0,0,0,1,0
240,1,0,0,0,1,0
241,0,-1,1,1,0,1
242,0,0,0,0,1,0
243,1,0,1,1,0,1
244,0,0,0,0,1,0
245,0,0,0,0,1,0
246,0,0,0,0,1,0
247,0,0,0,0,1,0
248,0,0,0,0,1,0
249,0,0,0,0,1,0
250,0,0,0,0,1,0
251,1,0,1,1,0,1
252,0,0,0,0,1,0
253,0,0,0,0,1,0
254,0,0,1,1,0,1
255,0,0,0,0,1,0
256,0,0,0,0,1,0
257,0,0,0,0,1,0
258,0,0,0,0,1,0
259,0,0,0,0,1,0
260,1,0,1,1,0,1
261,0,0,0,0,1,0
262,0,0,1,1,0,1
263,0,0,1,1,0,1
264,1,0,1,1,0,1
265,1,0,0,0,1,0
266,0,0,1,1,0,1
267,1,0,0,0,1,0
268,1,0,1,1,0,1
269,0,0,0,0,1,0
270,0,0,1,1,0,1
271,0,0,0,0,1,0
272,1,0,1,1,0,1
273,0,0,1,1,0,1
274,0,0,0,0,1,0
275,0,0,0,0,1,0
276,0,0,1,1,0,1
277,0,0,1,1,0,1
278,0,0,0,0,1,0
279,0,0,1,1,0,1
280,1,0,1,1,0,1
281,0,0,0,0,1,0
282,0,0,0,0,1,0
283,0,0,1,1,0,1
284,0,0,0,0,1,0
285,0,0,0,0,1,0
286,1,0,1,1,0,1
287,0,0,0,0,0,0
288,0,0,1,1,0,1
289,0,0,0,0,1,0
290,0,0,0,0,1,0
291,1,0,1,1,0,1
292,0,0,1,1,0,1
293,1,0,0,0,1,0
294,0,0,0,0,1,0
295,0,0,0,0,1,0
296,1,-1,1,1,0,1
297,0,0,1,1,0,1
298,0,0,1,1,0,1
299,0,0,0,0,1,0
300,0,0,1,1,0,1
301,0,0,1,1,0,1
302,0,0,1,1,0,1
303,0,0,1,1,0,1
304,0,0,0,0,1,0
305,1,0,0,0,1,0
306,1,0,0,0,1,0
307,1,0,1,1,0,1
308,0,0,0,0,1,0
309,0,0,1,1,0,1
310,0,0,0,0,1,0
311,0,0,1,1,0,1
312,0,0,1,1,0,1
313,1,0,1,1,0,1
314,1,0,1,1,0,1
315,0,0,0,0,1,0
316,1,0,0,0,1,0
317,0,0,1,1,0,1
318,0,0,1,1,0,1
319,1,0,0,0,1,0
320,0,0,0,0,1,0
321,0,0,0,0,1,0
322,1,0,1,1,0,1
323,0,0,0,0,1,0
324,0,0,0,0,1,0
325,0,0,0,0,1,0
326,0,0,0,0,1,0
327,0,0,0,0,1,0
328,0,0,0,0,1,0
329,0,0,0,0,1,0
330,0,0,1,1,0,1
331,1,1,1,1,0,1
332,1,0,0,0,1,0
333,0,0,0,0,1,0
334,0,0,0,0,1,0
335,1,0,0,0,1,0
336,0,0,0,0,1,0
337,0,0,0,0,1,0
338,0,0,0,0,1,0
339,1,0,1,1,0,1
340,0,0,1,1,0,1
341,0,0,0,0,1,0
342,0,0,1,1,0,1
343,0,0,1,1,0,1
344,0,0,0,0,1,0
345,0,0,0,0,1,0
346,0,0,0,0,1,0
347,0,0,0,0,1,0
348,0,0,0,0,1,0
349,0,0,0,0,1,0
350,0,0,1,1,0,1
351,0,0,0,0,1,0
352,0,0,0,0,1,0
353,0,0,0,0,1,0
354,0,0,1,1,0,1
355,0,0,1,1,0,1
356,1,-1,1,1,0,1
357,0,0,1,1,0,1
358,0,0,1,1,0,1
359,0,0,1,1,0,1
360,0,0,1,1,0,1
361,1,0,0,0,1,0
362,0,0,0,0,1,0
363,0,0,0,0,1,0
364,1,0,0,0,1,0
365,0,0,0,0,1,0
366,0,0,0,0,1,0
367,0,0,0,0,1,0
368,0,0,1,1,0,1
369,0,0,0,0,1,0
370,1,0,1,1,0,1
371,1,-1,1,1,0,1
372,0,0,0,0,1,0
373,0,0,0,0,1,0
374,0,0,0,0,1,0
375,0,0,0,0,1,0
376,0,0,0,0,1,0
377,0,0,0,0,1,0
378,0,0,0,0,1,0
379,0,0,0,0,1,0
380,0,0,0,0,1,0
381,0,0,0,0,1,0
382,0,0,1,1,0,1
383,0,0,0,0,1,0
384,0,0,1,1,0,1
385,0,0,0,0,0,0
386,0,0,1,1,0,1
387,0,0,0,0,1,0
388,0,0,1,1,0,1
389,0,0,0,0,1,0
390,0,0,1,1,0,1
391,0,0,0,0,1,0
392,0,0,1,1,0,1
393,0,0,1,1,0,1
394,1,0,0,0,1,0
395,0,0,1,1,0,1
396,1,0,1,1,0,1
397,0,0,0,0,1,0
398,1,0,0,0,1,0
399,0,0,0,0,1,0
400,0,0,0,0,1,0
401,1,0,1,1,0,1
402,0,0,0,0,1,0
403,0,0,0,0,1,0
404,0,0,0,0,1,0
405,1,-1,1,1,0,1
406,0,0,0,0,1,0
407,0,0,0,0,1,0
408,1,0,1,1,0,1
409,0,0,0,0,1,0
410,0,0,0,0,1,0
411,0,0,0,0,1,0
412,0,0,1,1,0,1
413,0,0,1,1,0,1
414,0,0,0,0,1,0
415,0,0,0,0,1,0
416,0,0,1,1,0,1
417,0,0,1,1,0,1
418,0,0,1,1,0,1
419,0,0,0,0,1,0
420,1,0,1,1,0,1
421,0,0,1,1,0,1
422,0,0,1,1,0,1
423,1,0,1,1,0,1
424,0,0,1,1,0,1
425,0,0,1,1,0,1
426,0,0,0,0,1,0
427,1,0,0,0,1,0
428,1,0,1,1,0,1
429,0,0,0,0,1,0
430,1,0,1,1,0,1
431,1,0,1,1,0,1
432,1,0,1,0,1,1
433,0,0,0,0,1,0
434,0,0,1,1,0,1
435,0,0,0,0,1,0
436,0,0,1,1,0,1
437,0,0,0,0,1,0
438,0,0,0,0,1,0
439,0,0,0,0,1,0
440,0,0,0,0,1,0
441,0,0,0,0,1,1
442,0,0,0,0,1,0
443,0,0,0,0,1,0
444,1,1,1,1,0,1
445,1,0,0,0,1,0
446,0,0,1,1,0,1
447,1,-1,1,1,0,1
448,1,0,0,0,1,0
449,1,0,0,0,1,0
450,0,0,0,0,1,0
451,1,0,1,1,0,1
452,0,0,0,0,1,0
453,1,0,1,1,0,1
454,0,0,0,0,1,0
455,0,0,0,0,1,0
456,0,0,1,1,0,1
457,1,0,1,1,0,1
458,0,0,1,0,1,1
459,0,0,1,1,0,1
460,0,0,0,0,1,0
461,0,0,0,0,1,0
462,0,0,0,0,1,0
463,0,0,0,0,1,0
464,1,0,0,0,1,0
465,0,0,0,0,1,0
466,1,0,0,0,1,0
467,0,0,0,0,1,0
468,1,0,1,1,0,1
469,0,0,0,0,1,0
470,0,0,0,0,1,0
471,0,0,0,0,1,0
472,0,0,0,1,0,1
473,0,0,0,0,1,0
474,0,0,0,0,1,0
475,0,0,0,0,1,0
476,0,0,0,0,1,0
477,0,0,0,0,1,0
478,1,0,0,0,1,0
479,0,0,0,0,1,0
480,0,-1,1,1,0,1
481,0,-1,1,1,0,1
482,0,0,0,0,1,0
483,0,0,1,1,0,1
484,0,0,0,0,1,0
485,1,0,0,0,1,0
486,0,0,0,0,1,0
487,0,0,0,0,1,0
488,0,0,0,0,1,0
489,1,0,1,1,0,1
490,0,0,1,1,0,1
491,0,0,1,1,0,1
492,1,0,0,0,1,0
493,0,0,1,1,0,1
494,0,0,1,1,0,1
495,0,0,1,1,0,1
496,0,0,0,0,1,0
497,0,0,0,1,0,0
498,0,0,0,0,1,0
499,0,0,0,0,1,0
500,0,0,1,1,0,1
501,0,0,1,1,0,1
502,0,0,0,0,1,0
503,0,0,1,1,0,1
504,0,0,0,0,1,0
505,0,0,0,0,1,0
506,0,0,0,0,1,0
507,0,0,0,0,1,0
508,0,0,0,0,1,0
509,0,0,0,0,1,0
510,0,0,0,0,1,0
511,0,0,1,1,0,1
512,0,0,0,0,1,0
513,0,0,0,0,1,0
514,0,0,0,0,1,0
515,1,0,0,0,0,1
516,0,0,0,0,1,0
517,0,0,1,1,0,1
518,0,0,0,0,1,0
519,0,0,0,0,1,0
520,0,0,1,1,0,1
521,0,0,1,1,0,1
522,0,0,0,0,1,0
523,1,0,0,0,1,0
524,0,0,0,0,1,0
525,0,0,0,0,1,0
526,0,0,0,0,1,0
527,1,0,0,0,1,0
528,0,0,0,0,1,0
529,0,0,0,0,1,0
530,0,0,0,0,1,0
531,0,0,0,0,1,0
532,0,0,1,1,0,1
533,0,0,0,0,1,0
534,0,0,0,0,1,0
535,1,0,0,0,1,0
536,0,0,0,0,1,0
537,1,1,1,1,0,1
538,0,0,1,1,0,1
539,0,0,0,0,1,0
540,0,0,0,0,1,0
541,1,0,0,0,1,0
542,0,0,0,0,1,0
543,0,0,0,0,1,0
544,0,0,0,0,1,0
545,0,0,0,0,1,0
546,1,0,1,1,0,1
547,1,0,1,1,0,1
548,0,0,0,0,1,0
549,0,0,0,0,1,0
550,0,0,1,1,0,1
551,1,0,1,1,0,1
552,0,0,1,1,0,1
553,1,0,0,0,1,0
554,0,0,0,0,1,0
555,0,0,1,1,0,1
556,0,0,0,0,1,0
557,0,0,0,0,1,0
558,0,0,1,1,0,1
559,0,0,0,0,1,0
560,0,0,0,0,0,0
561,1,0,0,0,1,0
562,0,0,0,0,1,0
563,0,0,0,0,1,0
564,0,0,0,0,1,0
565,1,-1,1,1,0,1
566,0,0,1,1,0,1
567,1,0,0,0,1,0
568,0,0,1,1,0,1
569,0,0,0,0,1,0
570,1,-1,1,1,0,1
571,0,0,0,0,1,0
572,0,0,1,1,0,1
573,1,0,1,1,0,1
574,0,0,0,0,1,0
575,0,0,1,1,0,1
576,0,0,0,0,1,0
577,0,0,0,0,1,0
578,0,0,0,0,1,0
579,0,0,0,0,1,0
580,0,0,1,1,0,1
581,0,0,1,1,0,1
582,0,0,0,0,1,0
583,1,0,1,1,0,1
584,0,0,0,0,1,0
585,0,0,1,1,0,1
586,0,0,1,1,0,1
587,0,0,1,1,0,1
588,0,0,0,0,1,0
589,0,0,1,1,0,1
590,0,0,0,0,1,0
591,0,0,0,0,1,0
592,1,0,1,1,0,1
593,0,0,0,0,1,0
594,0,0,1,1,0,1
595,0,-1,1,1,0,1
596,0,-1,1,1,0,1
597,0,0,0,0,1,0
598,0,0,0,0,1,0
599,0,0,0,0,1,0
600,1,0,1,1,0,1
601,0,0,0,0,1,0
602,0,0,1,1,0,1
603,0,0,0,0,1,0
604,1,0,0,0,1,0
605,0,0,1,1,0,1
606,0,0,0,0,1,0
607,0,0,0,0,1,0
608,1,0,1,1,0,1
609,0,0,0,0,1,0
610,1,0,0,0,1,0
611,1,0,0,0,1,0
612,0,0,0,0,1,0
613,1,0,0,0,1,0
614,0,0,0,0,1,0
615,0,0,0,0,1,0
616,0,0,1,1,0,1
617,0,0,0,0,1,0
618,0,0,1,1,0,1
619,1,0,0,0,1,0
620,0,0,0,0,1,0
621,1,-1,1,1,0,1
622,1,0,1,1,0,1
623,1,0,1,1,0,1
624,1,0,0,0,1,0
625,0,0,0,0,1,0
626,0,0,1,1,0,1
627,0,0,0,0,1,0
628,1,0,1,1,0,1
629,1,0,0,0,1,0
630,0,0,0,0,1,0
631,1,0,1,1,0,1
632,0,0,0,0,1,0
633,0,0,0,0,1,0
634,1,0,1,1,0,1
635,1,0,1,1,0,1
636,1,0,0,0,1,0
637,0,0,0,0,1,0
638,0,0,0,0,1,0
639,0,0,0,0,1,0
640,0,0,0,1,0,0
641,0,0,0,0,1,0
642,0,0,0,0,1,0
643,0,0,0,0,1,0
644,0,0,1,1,0,1
645,0,0,0,0,1,0
646,1,0,1,1,0,1
647,1,0,0,0,1,0
648,0,0,0,0,1,0
649,0,0,0,0,1,0
650,0,0,0,0,1,0
651,0,0,0,0,1,0
652,1,0,1,1,0,1
653,1,0,1,1,0,1
654,1,0,0,0,1,0
655,0,0,1,1,0,1
656,1,0,1,1,0,1
657,0,0,0,0,1,0
658,0,0,0,0,1,0
659,0,0,0,0,1,0
660,1,0,1,1,0,1
661,0,0,0,0,1,0
662,0,0,0,0,1,0
663,1,-1,1,1,0,1
664,0,0,0,0,1,0
665,0,0,0,0,1,0
666,0,0,0,0,1,0
667,0,0,1,1,0,1
668,0,0,1,1,0,1
669,0,0,0,0,1,0
670,0,0,0,0,1,0
671,0,-1,1,1,0,1
672,1,0,0,0,1,0
673,0,0,0,0,1,0
674,0,0,1,1,0,1
675,1,1,1,1,0,1
676,0,0,0,0,1,0
677,0,0,0,0,1,0
678,1,0,0,0,1,0
679,0,0,0,0,1,0
680,0,0,0,0,1,0
681,0,0,0,0,1,0
682,1,0,1,1,0,1
683,0,0,0,0,1,0
684,1,0,0,0,1,0
685,1,0,0,0,1,0
686,0,0,0,0,1,0
687,0,0,0,0,1,0
688,0,0,1,1,0,1
689,1,0,0,0,1,0
690,0,0,0,0,1,0
691,0,0,0,0,1,0
692,0,0,1,1,0,1
693,0,0,0,0,1,0
694,0,0,0,0,1,0
695,0,0,0,0,1,0
696,0,0,0,0,1,0
697,1,0,1,1,0,1
698,1,0,1,1,0,1
699,0,0,0,0,1,0
700,0,0,0,0,1,0
701,1,0,0,0,1,0
702,0,0,0,0,1,0
703,0,0,0,0,1,0
704,0,0,0,0,1,0
705,0,0,0,0,1,0
706,0,0,0,0,1,0
707,1,0,0,0,1,0
708,0,0,0,0,1,0
709,0,0,0,0,1,0
710,0,0,0,0,1,0
711,0,0,1,1,0,1
712,1,0,0,0,1,0
713,0,0,1,1,0,1
714,1,0,1,1,0,1
715,1,0,0,0,1,0
716,0,0,1,1,0,1
717,0,0,0,0,1,0
718,0,0,1,1,0,1
719,1,0,1,1,0,1
720,1,0,0,0,1,0
721,1,0,1,1,0,1
722,1,0,0,0,1,0
723,0,0,1,1,0,1
724,0,0,1,1,0,1
725,0,0,0,0,1,0
726,0,0,0,0,1,0
727,1,0,1,1,0,1
728,0,0,0,0,1,0
729,0,0,1,1,0,1
730,1,0,1,1,0,1
731,0,0,0,0,1,0
732,0,0,0,0,1,0
733,0,0,0,0,1,0
734,0,0,0,0,1,0
735,1,0,0,0,1,0
736,0,-1,1,1,0,1
737,0,0,0,0,1,0
738,1,0,0,0,1,0
739,0,0,0,0,1,0
740,0,0,0,0,1,0
741,1,0,0,0,1,0
742,0,0,0,0,1,0
743,0,0,0,0,1,0
744,0,0,0,0,1,0
745,1,-1,1,1,0,1
746,0,0,0,0,1,0
747,0,0,0,0,1,0
748,0,0,0,0,1,0
749,1,0,0,0,1,0
750,1,0,0,0,1,0
751,0,0,0,0,1,0
752,0,0,0,0,1,0
753,0,0,0,0,1,0
754,1,0,1,1,0,1
755,0,0,1,1,0,1
756,1,0,0,0,1,0
757,0,0,1,1,0,1
758,0,0,0,0,1,0
759,0,0,0,0,1,0
760,1,-1,1,1,0,1
761,0,0,1,1,0,1
762,1,0,0,0,1,0
763,0,0,0,0,1,0
764,0,0,0,0,1,0
765,0,-1,1,1,0,1
766,0,0,0,0,1,0
767,0,0,1,1,0,1
768,0,0,0,0,1,0
769,0,0,1,1,0,1
770,0,-1,1,1,0,1
771,1,0,1,1,0,1
772,0,0,0,0,1,0
773,0,0,0,0,1,0
774,1,0,0,0,1,0
775,0,0,0,0,1,0
776,0,0,1,1,0,1
777,0,0,0,0,1,0
778,0,0,0,0,1,0
779,0,0,1,1,0,1
780,0,0,0,0,1,0
781,0,0,0,0,1,0
782,1,0,0,0,0,0
783,0,0,1,1,0,1
784,0,0,1,1,0,1
785,0,0,1,1,0,1
786,0,0,0,0,1,0
787,0,0,0,0,1,0
788,1,0,0,0,0,0
789,1,0,0,0,1,0
790,0,0,0,0,1,0
791,0,0,0,0,1,0
792,0,0,0,0,1,0
793,0,0,1,1,0,1
794,0,0,0,0,1,0
795,0,0,1,1,0,1
796,1,0,1,1,0,1
797,1,0,0,0,1,0
798,0,0,1,1,0,1
799,1,0,1,1,0,0
800,0,0,0,0,1,0
801,0,0,0,0,1,0
802,0,0,0,0,1,0
803,1,0,0,0,1,0
804,0,0,0,0,1,0
805,0,0,0,0,1,0
806,0,0,0,0,1,0
807,1,0,1,1,0,1
808,0,0,1,1,0,1
809,0,0,0,0,1,0
810,0,0,0,0,1,0
811,0,-1,1,1,0,1
812,0,0,1,1,0,1
813,1,0,1,1,0,1
814,0,0,0,0,1,0
815,1,0,1,1,0,1
816,0,0,0,0,1,0
817,0,0,0,0,1,0
818,0,0,0,0,1,0
819,0,0,0,0,1,0
820,1,0,1,0,0,0
821,0,0,0,0,1,0
822,1,0,0,0,1,0
823,0,0,0,0,1,0
824,0,0,0,1,1,0
825,1,0,0,0,1,0
826,1,0,1,1,0,1
827,1,0,0,0,1,0
828,1,-1,1,1,0,1
829,0,0,0,0,1,0
830,0,0,0,0,1,0
831,0,0,1,1,0,1
832,0,-1,1,1,0,1
833,1,0,0,0,1,0
834,0,0,0,0,1,0
835,0,0,0,0,1,0
836,0,0,0,0,1,0
837,0,0,1,1,0,1
838,0,0,0,0,1,0
839,0,0,0,0,1,0
840,1,0,1,1,0,1
841,0,0,0,0,1,0
842,0,0,0,0,1,0
843,0,0,1,1,0,1
844,0,0,0,0,1,0
845,0,0,0,0,1,0
846,0,0,0,0,1,0
847,0,0,0,0,1,0
848,0,0,0,0,1,0
849,1,0,0,0,1,0
850,1,0,0,0,1,0
851,0,0,0,0,1,0
852,1,0,0,0,1,0
853,1,0,1,1,0,1
854,0,0,0,0,1,0
855,0,0,0,0,1,0
856,1,0,0,0,1,0
857,0,0,0,0,1,0
858,0,0,1,1,0,1
859,0,0,0,0,1,0
860,0,0,0,0,1,0
861,1,0,0,0,1,0
862,0,0,1,1,0,1
863,1,0,0,0,1,0
864,0,0,1,1,0,1
865,0,0,0,0,1,0
866,0,0,1,1,0,1
867,0,-1,1,1,0,1
868,1,0,0,0,1,0
869,0,0,0,0,1,0
870,0,0,0,0,1,0
871,0,0,1,1,0,1
872,0,0,0,0,1,0
873,1,0,0,0,1,0
874,0,0,0,0,1,0
875,1,0,0,0,1,0
876,0,0,0,0,1,0
877,1,0,0,0,1,0
878,0,0,0,0,1,0
879,0,0,1,1,0,1
880,0,0,0,0,1,0
881,0,-1,1,1,0,1
882,1,0,0,0,1,0
883,1,0,0,0,1,0
884,1,0,0,0,1,0
885,1,0,0,0,1,0
886,0,0,0,0,1,0
887,0,0,0,0,1,0
888,0,0,0,0,1,0
889,0,0,0,0,1,0
890,1,0,0,0,1,0
891,0,0,0,0,1,0
892,0,0,0,1,0,0
893,1,0,0,0,1,0
894,0,0,1,1,1,1
895,0,0,0,0,1,0
896,1,0,0,0,1,0
897,0,0,0,0,1,0
898,0,0,0,0,1,0
899,1,0,0,0,1,0
900,0,0,1,1,0,1
901,0,0,1,1,0,1
902,0,0,0,0,1,0
903,1,0,0,0,1,0
904,0,0,1,1,0,1
905,0,0,1,1,0,1
906,1,0,0,0,1,0
907,0,0,0,0,1,0
908,0,0,1,1,0,1
909,0,0,0,0,1,0
910,0,0,1,1,0,1
911,0,0,0,0,1,0
912,0,0,0,0,1,0
913,0,0,0,0,1,0
914,0,0,0,0,1,0
915,0,0,1,1,0,1
916,1,0,1,1,0,1
917,0,0,0,0,1,0
918,0,0,0,0,1,0
919,1,-1,1,1,0,1
920,0,0,0,0,1,0
921,1,0,0,0,1,0
922,1,0,0,0,1,0
923,0,0,0,0,1,0
924,0,0,0,0,1,0
925,0,0,0,0,1,0
926,0,0,0,0,1,1
927,0,0,0,0,1,0
928,0,0,0,0,1,0
929,0,0,1,1,0,1
930,1,0,0,0,1,0
931,1,0,0,0,1,0
932,1,0,0,0,1,0
933,0,0,0,1,0,0
934,0,0,0,0,1,0
935,0,0,1,1,0,1
936,0,0,0,0,1,0
937,0,0,0,0,1,0
938,1,0,0,0,1,0
939,1,0,0,0,1,0
940,0,0,1,1,0,1
941,0,0,0,0,1,0
942,0,0,0,0,1,0
943,0,0,1,1,0,1
944,1,0,0,0,1,0
945,1,0,0,0,1,0
946,1,1,1,1,0,1
947,1,0,1,1,0,1
948,0,0,1,1,0,1
949,1,-1,1,1,0,1
950,1,0,1,1,0,1
951,0,0,0,0,1,0
952,0,0,0,0,1,0
953,0,0,0,0,1,0
954,0,0,0,0,1,0
955,0,0,0,0,1,0
956,0,0,0,0,1,0
957,0,0,0,0,1,0
958,1,0,0,0,1,0
959,0,0,0,0,0,0
960,0,0,0,0,1,0
961,0,0,0,0,1,0
962,0,0,0,0,1,0
963,0,0,0,0,1,0
964,0,0,0,0,1,0
965,1,-1,1,1,0,1
966,0,0,1,1,0,1
967,0,0,0,0,1,0
968,0,0,0,0,1,0
969,0,0,0,0,1,0
970,0,0,0,0,1,0
971,1,0,0,0,1,0
972,0,0,1,1,0,1
973,1,0,1,1,0,1
974,1,0,0,0,1,0
975,1,0,0,0,1,0
976,0,0,1,1,0,1
977,0,0,0,0,1,0
978,0,-1,1,1,0,1
979,0,0,0,0,1,0
980,1,0,0,0,1,0
981,0,0,0,0,1,0
