,race,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,FairDEN2,FairSC_normalized2,FairSC2,FairDEN3,FairSC_normalized3,FairSC3,FairDEN4,FairSC_normalized4,FairSC4,FairDEN5,FairSC_normalized5,FairSC5,FairDEN6,FairSC_normalized6,FairSC6,FairDEN7,FairSC_normalized7,FairSC7,FairDEN8,FairSC_normalized8,FairSC8,FairDEN9,FairSC_normalized9,FairSC9,FairDEN10,FairSC_normalized10,FairSC10
47293,4,39,233117,15,0,40,1,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,1,5,2,5,2,2,8,7,8,9,2,1
37428,4,60,80927,4,0,50,1,0,1,0,1,1,1,1,3,1,1,0,2,3,3,3,4,5,4,1,1,4,5,2,1,1,8,0,5
48265,4,32,244268,7,0,48,0,0,1,0,0,1,1,1,0,1,1,4,0,0,2,0,2,1,4,5,7,4,3,6,1,7,3,0,5
5653,4,56,192869,9,0,40,1,0,0,1,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
31570,4,31,77634,1,0,24,0,0,1,0,0,2,1,1,2,1,1,3,2,3,4,3,4,2,4,5,4,4,5,0,1,1,6,0,5
26782,4,46,162030,9,0,43,0,0,0,0,1,0,1,1,1,1,1,2,0,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
40276,4,60,40856,9,0,40,0,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7
25694,4,42,102069,4,0,30,0,0,1,0,0,1,1,1,3,1,1,0,2,3,3,3,4,5,4,5,1,4,5,2,1,1,8,0,5
39366,4,31,284889,13,0,41,0,0,0,1,1,0,2,0,1,3,2,2,3,1,1,5,3,0,5,2,6,2,0,1,7,3,5,2,4
18533,2,27,251854,13,0,35,1,0,0,0,1,1,1,1,0,1,1,1,0,3,5,3,4,4,0,5,5,5,5,4,4,1,0,4,1
11497,4,27,120126,13,0,45,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,5,2,4
3617,4,17,354201,9,0,40,0,0,0,0,0,1,0,2,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0
13909,4,30,188398,9,0,30,0,0,0,0,0,0,0,2,1,0,3,1,1,4,5,4,1,4,1,4,0,7,1,4,0,2,5,8,3
31723,4,57,317969,9,0,50,0,0,1,0,1,1,1,1,0,1,1,4,2,0,2,3,4,1,6,5,7,6,0,6,8,6,3,3,0
7565,4,41,277390,13,0,30,1,0,1,1,1,1,2,0,0,2,2,4,4,1,2,5,3,1,5,2,7,5,2,6,4,8,3,4,1
4865,4,22,162869,10,0,65,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,4,5,7,1,3,6,6,7,3,1,6
39543,4,57,321456,9,0,20,0,0,1,0,1,1,1,1,3,0,1,0,2,3,3,3,4,3,6,1,3,6,5,5,5,1,2,7,1
10941,4,58,373344,2,0,40,0,0,1,0,1,2,1,1,2,1,1,3,2,3,4,3,4,2,4,5,3,4,5,0,1,1,6,0,5
15482,4,46,202560,9,0,40,1,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,6,2,6,6,3,8,4,1,3,7
4878,4,29,206351,6,5013,40,0,0,1,0,0,1,1,1,0,1,1,0,2,3,3,3,0,5,4,5,1,4,5,2,1,1,8,0,5
13433,2,21,173324,10,0,20,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,5,4,1
4273,4,23,257621,13,0,45,0,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,4,5,2,5,2,2,4,7,3,0,2,4
29060,4,60,206339,9,0,40,0,0,0,1,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
30244,1,32,193260,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1
43895,4,46,481258,13,0,45,1,0,1,0,1,1,0,0,3,3,0,0,3,0,3,2,2,3,3,5,3,0,0,5,2,6,2,9,0
25834,4,69,58213,13,20051,45,1,0,1,1,1,2,2,1,2,2,1,3,4,3,4,3,4,2,0,2,4,5,5,7,4,8,7,4,1
47078,4,46,178642,9,0,40,1,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,6,2,6,6,3,8,4,1,3,7
19148,4,29,253262,10,0,40,0,0,0,0,0,0,0,2,1,3,0,2,3,0,1,4,1,0,1,0,6,7,4,1,0,5,4,8,9
20356,4,25,250038,5,0,45,0,0,1,0,0,1,1,2,0,1,0,4,2,0,2,3,2,1,4,5,7,4,0,6,1,1,3,0,5
43134,4,38,43311,3,0,40,0,0,1,0,0,1,1,1,3,1,1,0,2,3,3,3,4,3,4,5,3,4,5,5,1,1,2,0,5
32707,4,50,138193,13,0,50,1,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,4,5,2,5,2,2,8,7,8,0,2,1
41570,4,26,61996,9,0,62,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,4,3,7,1,3,6,6,7,3,1,6
42233,4,30,136832,5,0,40,0,0,0,0,0,1,1,1,0,1,1,1,2,3,2,3,4,1,4,5,5,4,5,8,1,1,9,0,5
4303,4,30,65278,9,0,40,1,0,0,0,0,0,1,1,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2
20279,4,47,191978,10,0,40,1,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,6,6,6,6,6,1,8,4,4,3,7
36257,4,43,95246,15,0,5,1,0,1,0,1,2,1,0,2,0,1,3,4,3,4,3,4,2,5,4,4,5,5,0,4,8,6,4,1
32109,4,18,347336,8,0,12,0,0,1,0,0,1,0,2,0,0,0,4,3,2,2,1,5,5,2,4,1,3,1,2,3,2,8,6,3
42697,4,26,340126,9,0,50,0,0,0,0,1,1,0,2,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,8,2,6,0,9,0
35881,4,34,424988,5,0,40,0,0,1,0,0,1,0,2,3,3,0,0,3,0,3,2,2,3,3,5,3,0,0,5,2,6,2,9,5
45484,2,31,463601,9,0,40,0,0,0,0,1,1,1,1,0,1,1,1,0,3,2,3,4,1,0,5,5,5,5,8,4,1,9,4,1
25113,4,22,188274,12,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,4,2,4
40839,2,33,207561,13,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1
25956,4,18,344742,6,0,40,0,0,1,0,0,1,0,2,3,3,0,0,3,0,3,2,2,5,3,5,1,4,0,2,1,6,8,0,5
44485,4,24,245361,9,0,40,0,0,0,0,0,0,0,2,1,3,0,2,1,0,0,4,1,6,1,0,2,7,4,3,0,5,1,8,9
44754,4,36,280570,10,0,45,0,0,0,0,1,0,0,1,1,3,0,1,3,0,5,2,2,4,3,5,0,0,0,4,2,6,5,9,0
24573,4,53,113176,9,2597,40,0,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7
15769,4,64,146110,10,0,24,0,0,1,0,1,1,1,1,0,0,1,4,2,3,2,3,4,1,6,1,7,6,5,6,5,1,9,7,1
21240,4,30,196385,13,15024,35,1,0,1,1,1,2,2,0,3,2,2,0,4,1,3,3,3,3,0,2,3,5,2,5,4,8,2,4,1
4524,4,19,39026,9,0,30,0,0,0,0,0,1,0,2,0,0,3,1,1,2,2,1,5,1,2,4,5,3,1,8,3,2,9,5,3
41192,4,41,149576,10,0,40,1,0,0,0,0,0,1,1,1,1,1,2,0,4,1,4,1,0,1,6,6,7,6,1,8,4,4,3,8
35280,4,38,186815,9,0,43,0,0,0,0,0,0,1,1,1,1,3,2,0,4,0,4,1,6,1,6,2,7,6,3,0,4,1,8,8
11335,2,43,281422,12,0,45,0,0,0,0,1,1,1,1,0,1,1,1,0,3,2,3,4,1,0,5,5,5,5,8,4,1,9,4,1
21531,4,46,96552,10,0,17,0,0,1,0,1,1,1,1,0,0,1,4,2,3,2,3,4,5,6,4,7,6,5,2,5,1,3,7,1
25109,4,53,142717,13,0,40,0,0,0,1,1,0,2,0,1,2,2,1,4,1,1,5,3,0,5,2,0,2,2,4,7,8,5,4,1
31872,2,26,385278,9,0,60,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,5,0,5,1,5,5,2,4,1,8,4,1
1175,4,58,169982,10,0,40,1,0,0,1,1,0,1,1,1,1,1,2,2,3,1,3,4,0,6,1,6,6,5,1,8,1,4,3,7
19825,4,58,190763,13,0,40,1,0,0,1,1,0,2,0,1,2,2,1,4,1,5,5,3,4,5,2,0,5,2,4,4,8,0,4,1
20188,2,34,263307,13,0,45,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,4,0,5,0,5,5,4,4,1,5,4,1
2004,4,39,192337,13,0,50,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,5,2,1
7133,4,41,174395,14,0,40,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1
48057,4,76,239900,9,0,3,0,0,1,0,1,2,1,1,2,0,1,0,2,3,3,3,4,3,6,1,3,6,5,5,5,1,6,7,1
18049,4,40,208470,9,0,40,0,0,0,0,0,0,1,1,1,1,1,2,0,3,0,4,1,6,1,6,2,7,6,3,8,4,1,8,8
3000,4,31,259931,4,0,40,0,0,1,0,0,1,1,1,0,1,0,4,2,3,2,3,2,1,4,5,7,4,0,6,1,1,3,0,5
29683,4,32,329993,10,0,50,0,0,0,0,1,1,0,1,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0
16840,4,32,286689,12,0,42,1,0,0,1,1,0,2,0,1,3,2,1,3,0,5,2,2,4,3,2,0,0,0,4,2,6,5,2,0
26232,1,39,80638,10,0,84,1,0,1,0,1,1,1,1,3,1,1,0,0,3,3,3,4,3,0,5,3,5,5,5,4,1,2,4,1
1422,4,40,202872,12,0,45,0,0,0,1,1,0,2,0,1,2,2,1,4,1,5,5,3,4,5,2,5,2,2,4,7,8,0,2,1
9194,4,55,170169,9,0,40,0,0,0,1,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
26229,4,25,113654,9,0,37,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2
34271,4,46,66934,13,0,45,0,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,4,5,2,5,2,2,8,7,8,0,2,1
14198,4,37,172571,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,0,4,0,4,1,6,1,6,2,7,6,3,0,4,1,8,8
47219,2,27,262723,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1
48160,4,34,103642,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,0,4,0,4,0,6,1,3,2,7,7,3,0,0,1,5,2
147,4,36,108293,9,0,24,0,0,0,0,0,1,0,2,0,0,1,1,1,2,2,1,5,1,2,4,5,3,1,8,3,2,9,6,3
21528,2,33,185336,11,0,40,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,4,0,5,0,5,5,4,4,1,5,4,1
44932,4,44,89172,14,0,40,0,0,0,1,1,0,2,0,1,2,2,1,4,1,5,5,3,4,5,2,0,2,2,4,7,8,5,2,1
30170,4,36,256636,9,0,40,0,0,0,0,0,0,0,2,1,3,0,2,3,0,0,2,1,6,3,6,2,0,6,3,2,4,4,8,8
32941,4,49,39140,9,0,60,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,4,5,7,1,3,6,6,7,3,1,6
20182,4,50,191130,11,0,40,1,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7
32206,2,61,190682,9,0,50,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,1,0,5,7,5,5,6,4,1,9,4,1
40508,4,54,155737,13,8614,40,1,0,1,1,1,1,2,0,3,2,2,0,4,3,3,3,4,3,0,2,3,5,2,5,4,8,2,4,1
27434,4,37,336880,10,0,50,0,0,0,0,1,1,0,1,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0
47103,4,34,450141,13,15024,35,1,0,1,1,1,2,2,0,2,2,1,3,4,0,4,2,2,2,0,5,4,5,0,7,4,6,7,4,1
13685,2,48,493862,9,7298,38,1,0,1,0,1,2,1,1,2,1,1,3,0,3,3,3,4,3,0,5,3,5,5,0,4,1,6,4,1
26776,4,44,317320,10,0,40,0,0,0,0,1,0,0,1,1,3,0,1,3,0,5,2,2,4,3,5,0,0,0,4,2,6,5,9,0
38528,4,50,143804,9,0,55,0,0,0,1,1,1,1,1,0,1,1,1,0,3,5,0,0,4,4,5,5,1,3,4,6,7,0,1,6
4280,4,64,114994,9,0,20,0,0,1,0,1,1,1,1,0,0,1,4,2,3,2,3,4,1,6,1,7,6,5,6,5,1,9,7,1
2741,4,47,189123,9,0,40,0,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
26036,4,24,179203,8,0,55,0,0,0,0,0,1,1,1,0,1,1,1,0,3,5,0,0,4,4,5,5,1,3,8,6,7,0,1,6
36309,4,47,189680,4,0,40,1,0,1,0,0,1,1,1,0,1,1,4,2,3,2,3,4,1,4,5,7,4,5,6,1,1,3,0,5
11993,4,53,139671,13,0,40,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,4,1
7229,2,36,285865,13,0,40,0,0,0,0,1,0,1,1,1,1,1,1,0,3,1,3,4,0,0,5,0,5,5,1,4,1,5,4,1
30079,4,47,140644,9,0,40,1,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
29081,4,26,253841,9,0,45,0,0,0,0,0,0,0,2,1,3,0,1,0,0,1,4,2,0,1,5,0,7,4,4,0,5,5,8,9
5843,4,23,224954,10,0,25,0,0,0,0,0,0,0,2,1,0,0,1,1,2,5,1,5,4,2,4,0,3,1,4,3,2,5,6,3
8489,4,24,189148,10,0,40,0,0,0,0,0,0,0,2,1,3,3,2,1,4,1,4,1,0,1,0,6,7,4,1,0,5,4,8,9
7112,4,20,42706,10,0,25,0,0,0,0,0,1,0,2,0,0,3,1,1,2,5,1,5,4,2,4,5,3,1,8,3,2,0,6,3
26852,2,36,257380,9,0,35,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,5,4,1
44830,4,50,185846,9,3103,40,1,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7
14286,4,43,182757,9,0,40,1,0,0,0,0,0,1,1,1,1,1,2,0,3,0,3,1,6,6,6,2,6,6,3,8,4,1,3,8
10538,4,39,177728,14,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1
27861,2,61,63526,8,0,52,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,1,0,5,7,5,5,6,4,1,3,4,1
29331,4,42,185764,10,0,60,0,0,0,1,1,0,1,1,1,1,1,1,0,3,5,0,0,4,4,5,0,1,3,4,6,7,0,1,6
4348,4,33,184901,9,0,40,1,0,0,0,0,0,1,2,1,1,3,2,0,4,0,4,1,6,1,6,2,7,6,3,0,4,1,8,8
44066,2,24,188073,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1
44310,4,39,91039,14,0,45,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1
20989,2,36,197495,13,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1
37891,4,50,170326,9,0,40,0,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
6915,4,46,110015,4,0,75,0,0,1,0,1,2,1,1,2,1,1,3,0,3,4,0,0,2,4,5,4,1,3,0,6,7,6,1,5
27087,4,26,77661,13,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,4,2,4
1570,2,19,62534,13,0,40,0,0,0,0,1,1,1,1,0,1,1,1,0,3,5,3,4,4,0,5,5,5,5,8,4,1,0,4,1
36153,4,63,75813,15,99999,60,1,1,1,1,1,2,2,0,-1,2,1,-1,4,3,-1,3,4,-1,0,2,-1,5,5,-1,4,8,-1,4,1
14453,2,27,139903,9,0,30,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,4,0,5,0,5,5,4,4,1,0,4,1
20516,4,28,109001,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,1,4,0,4,0,6,1,3,2,7,7,3,0,0,1,5,2
13400,4,60,103344,9,15024,40,1,0,1,1,1,2,2,1,2,2,1,3,4,3,4,3,4,2,0,1,4,5,5,0,4,1,6,4,1
40833,4,57,167483,11,0,50,0,0,1,1,1,1,1,1,0,1,1,4,2,3,2,3,4,1,6,1,7,6,5,6,8,1,3,3,7
6478,4,29,464536,13,0,40,0,0,1,0,1,1,0,0,0,3,0,4,3,0,2,2,2,1,3,5,7,0,0,6,2,6,3,9,0
37315,4,49,219751,9,0,40,0,0,0,0,1,0,1,1,1,1,1,2,2,3,1,3,4,0,6,1,6,6,5,1,8,1,4,3,7
40979,4,53,119570,13,0,45,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,4,1
20665,4,28,378460,13,10520,60,1,0,1,1,1,2,2,0,2,2,2,3,3,0,4,2,2,2,0,5,4,5,0,0,2,6,6,9,1
9189,1,38,227154,13,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1
1710,4,73,267408,9,0,15,0,0,1,0,1,1,1,1,3,0,1,0,2,3,3,3,4,5,6,1,1,6,5,2,5,1,8,7,1
12959,4,44,116825,15,15024,80,1,0,1,1,1,2,2,0,2,2,2,3,4,1,4,3,3,2,0,2,4,5,2,7,4,8,7,4,1
23738,4,54,332243,8,0,40,0,0,0,0,1,1,1,1,0,1,0,1,2,0,5,3,2,4,6,5,5,6,0,8,2,6,0,3,0
42268,4,34,41210,9,0,60,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,4,5,7,1,3,6,6,7,3,1,6
30012,4,44,150533,10,0,55,0,0,0,1,1,1,1,1,0,1,1,1,0,3,5,0,0,4,4,5,5,1,3,8,6,7,0,1,6
22637,4,60,95490,9,0,45,0,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7
43255,4,51,231230,9,0,45,0,0,0,0,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7
41431,4,42,435356,12,0,44,1,0,1,0,1,1,0,0,0,3,0,4,3,0,2,2,2,1,3,5,7,0,0,6,2,6,3,9,0
10259,4,41,397280,13,0,72,0,0,1,1,1,2,2,0,3,3,2,0,3,1,3,5,2,3,5,5,3,1,3,5,6,8,2,9,1
35605,4,26,191765,13,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,4,2,4
27560,4,34,116910,9,0,50,0,0,0,1,1,0,1,1,1,1,1,1,0,3,5,0,0,4,0,3,0,1,3,4,6,7,5,1,6
11463,4,36,229180,10,0,40,0,0,0,0,0,0,1,1,1,1,1,2,0,0,1,4,1,0,1,6,6,7,6,1,0,4,4,8,8
12616,2,22,450920,12,0,40,0,0,1,0,1,1,1,1,0,1,1,0,0,3,3,3,4,5,0,5,1,5,5,2,4,1,8,4,1
31641,4,34,177675,10,0,65,1,0,0,1,1,1,1,1,0,1,1,1,0,3,5,0,0,4,4,5,5,1,3,4,6,7,0,1,6
25542,2,31,106347,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1
46744,4,27,226441,13,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,4,2,4
17871,4,57,368797,9,0,40,0,0,0,0,1,1,1,1,0,1,0,1,2,0,5,2,2,4,3,5,5,0,0,8,2,6,0,9,0
12457,4,28,120135,11,0,40,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2
47932,4,18,149017,8,0,10,0,0,1,0,0,1,0,2,0,0,0,4,1,2,2,1,5,1,2,4,7,3,1,6,3,2,3,6,3
42173,2,51,379797,6,0,40,0,0,1,0,1,1,1,1,3,1,1,0,0,3,3,3,4,3,0,5,3,5,5,2,4,1,8,4,1
30275,4,61,142922,9,0,40,0,0,0,1,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7
6361,4,35,63509,11,0,50,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,0,3,7,1,3,6,4,7,9,5,6
15686,4,19,131982,10,0,40,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,0,6,7,7,1,0,0,4,5,2
20052,4,23,344278,10,0,25,0,0,0,0,0,1,0,2,0,3,0,1,3,0,5,2,2,4,3,4,5,0,0,8,2,6,0,9,0
29679,4,32,379412,11,0,40,0,0,0,0,1,1,0,2,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,8,2,6,0,9,0
25828,4,61,219886,10,0,40,1,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7
16584,4,39,132879,13,0,40,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1
4657,4,34,34374,10,0,50,0,0,0,1,1,1,1,1,0,1,1,1,0,3,2,0,0,1,0,3,5,1,7,8,6,7,9,5,6
19785,4,31,259531,11,0,40,0,0,0,0,0,0,0,2,1,3,0,1,3,0,5,2,2,4,3,0,0,0,0,4,2,6,5,8,0
34910,4,20,143062,9,0,40,0,0,0,0,0,0,1,2,1,1,3,2,1,4,0,4,0,6,1,0,2,7,7,3,0,0,1,5,2
26704,4,32,400132,13,0,40,1,0,0,0,1,1,0,0,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,8,2,6,0,9,0
20057,4,36,143068,10,0,40,0,0,0,0,0,0,1,1,1,1,3,2,0,4,1,4,1,0,1,6,6,7,6,1,0,4,4,5,8
29465,4,34,100593,10,0,6,0,0,1,0,0,1,0,2,3,0,0,0,1,2,3,1,5,5,2,4,1,3,1,2,3,2,8,6,3
2189,4,74,39890,10,0,18,0,0,1,0,1,1,1,1,3,0,1,0,2,3,3,3,4,3,6,1,3,6,5,5,5,1,2,7,1
2791,4,55,92215,9,0,40,0,0,0,1,1,0,1,1,1,1,1,2,2,3,1,3,4,0,6,1,6,6,5,1,8,1,4,3,7
19244,4,35,226789,14,0,75,0,0,1,1,1,1,2,0,3,1,2,0,0,1,3,0,0,3,4,5,3,1,3,5,6,7,2,1,6
26845,2,65,143732,9,0,40,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,0,0,5,0,5,5,4,4,1,5,4,1
33540,4,48,322183,9,0,35,1,0,0,0,1,0,0,1,0,1,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0
4162,4,29,446559,12,0,50,0,0,1,0,1,1,0,0,0,3,0,4,3,0,2,2,2,5,3,5,1,0,0,2,2,6,3,9,0
18805,2,36,359249,10,0,40,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,0,0,5,0,5,5,4,4,1,5,4,1
