,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,Scalable2,FairDEN2,FairSC_normalized2,FairSC2,Fairlet_MCF Fairlet2,Scalable3,FairDEN3,FairSC_normalized3,FairSC3,Fairlet_MCF Fairlet3,Scalable4,FairDEN4,FairSC_normalized4,FairSC4,Fairlet_MCF Fairlet4,Scalable5,FairDEN5,FairSC_normalized5,FairSC5,Fairlet_MCF Fairlet5,Scalable6,FairDEN6,FairSC_normalized6,FairSC6,Fairlet_MCF Fairlet6,Scalable7,FairDEN7,FairSC_normalized7,FairSC7,Fairlet_MCF Fairlet7,Scalable8,FairDEN8,FairSC_normalized8,FairSC8,Fairlet_MCF Fairlet8,Scalable9,FairDEN9,FairSC_normalized9,FairSC9,Fairlet_MCF Fairlet9,Scalable10,FairDEN10,FairSC_normalized10,FairSC10,Fairlet_MCF Fairlet10
43551,0,39,222530,10,0,40,0,-1,1,0,0,1,0,0,1,2,1,2,2,0,0,0,2,4,2,4,3,0,5,4,4,4,0,6,1,6,2,3,3,1,7,0,6,0,8,3,1,2,0,7,4,3,0
29137,1,21,181096,10,0,20,0,-1,1,0,0,1,0,0,1,0,2,2,3,0,2,1,2,2,2,2,2,4,1,1,2,0,0,3,0,5,1,3,3,1,0,3,7,3,0,0,8,5,2,2,5,4,0
18633,1,40,163455,10,0,55,1,-1,1,0,0,1,0,1,1,2,1,2,2,0,1,0,2,3,1,1,3,0,2,5,3,1,0,1,0,0,2,3,2,5,2,0,6,6,5,1,6,2,0,1,1,7,0
35513,0,45,86618,14,0,50,1,-1,0,0,0,1,0,1,0,2,1,2,1,1,0,0,2,3,1,4,3,0,4,5,4,1,0,2,6,6,6,3,7,5,5,6,6,2,2,5,3,2,5,9,6,9,6
16620,1,40,123306,11,0,40,1,-1,0,0,0,1,0,1,1,2,1,2,1,0,0,0,2,0,2,1,4,0,2,1,3,3,0,2,0,4,0,3,6,1,0,2,6,2,0,8,5,2,9,2,3,8,0
30674,1,17,169155,8,0,35,0,-1,1,0,0,1,0,0,0,0,2,2,3,1,2,1,2,2,1,2,2,0,1,5,2,0,1,3,6,5,1,3,4,5,0,3,6,7,5,8,8,3,8,1,5,4,6
17700,1,27,220748,9,0,48,0,-1,1,0,0,1,0,0,1,2,2,2,2,0,0,1,2,2,2,1,2,0,3,1,3,1,0,5,0,0,2,3,3,1,2,0,6,7,0,1,6,2,8,2,4,7,6
35703,0,28,402771,11,0,23,0,-1,1,1,0,1,0,0,0,2,1,2,3,1,0,2,2,4,4,2,1,4,5,2,5,2,0,5,2,6,4,2,0,7,3,5,7,4,7,3,2,5,3,3,4,3,0
2463,1,46,174224,11,0,40,0,-1,0,0,0,1,0,1,1,2,1,2,0,0,1,0,2,1,2,1,3,0,0,1,0,4,0,6,0,4,0,3,1,1,4,2,6,0,0,2,5,2,9,2,3,8,6
39379,0,31,192660,11,0,30,0,-1,0,0,0,1,0,0,0,2,1,2,1,1,0,0,2,2,4,1,3,0,2,2,4,1,0,0,2,4,2,3,3,0,7,0,6,1,2,3,1,2,2,9,4,3,0
42598,1,60,328011,10,0,20,0,-1,1,1,0,1,0,2,2,2,1,2,0,3,0,2,2,4,3,1,3,0,0,0,0,4,4,6,4,1,0,3,1,4,4,2,6,8,1,2,1,2,1,5,0,5,8
47294,1,39,233117,15,0,40,1,-1,0,0,1,0,0,0,0,1,0,2,2,1,3,3,2,1,1,0,0,0,4,5,1,5,0,0,6,3,5,3,7,5,1,1,6,2,2,6,0,2,5,9,2,2,6
37428,1,51,145105,10,0,30,0,-1,1,0,0,1,0,1,0,2,1,2,0,1,1,0,2,0,4,1,3,0,0,2,0,4,0,4,2,1,0,3,1,0,4,2,6,5,2,2,5,2,9,9,0,5,0
48266,1,32,244268,7,0,48,0,-1,1,1,0,1,0,0,0,0,1,2,2,1,0,2,2,2,4,1,2,0,3,2,3,0,0,5,2,6,2,2,4,0,3,0,6,1,2,0,1,2,8,9,4,3,0
5653,1,56,192869,9,0,40,1,-1,1,0,0,1,0,2,1,2,1,2,0,0,1,2,2,4,2,1,3,0,0,4,0,4,0,4,1,1,0,3,1,3,4,2,6,5,4,2,5,2,1,0,0,5,6
31570,0,31,190027,9,0,40,0,1,1,0,0,1,0,0,1,2,1,2,2,0,0,0,2,2,2,1,3,0,2,4,4,4,0,3,1,4,3,3,3,3,7,7,6,1,4,3,7,2,8,0,8,1,0
26782,1,49,122584,4,0,40,0,-1,1,1,0,1,0,1,0,0,1,2,1,1,1,2,2,0,4,1,3,0,3,2,0,4,0,6,2,1,0,3,5,7,4,2,6,5,7,2,1,2,6,3,0,5,0
41803,1,55,102058,13,0,40,1,-1,0,0,1,0,0,1,1,1,0,2,0,0,3,3,2,1,2,0,0,0,0,1,1,5,0,4,0,3,5,3,1,1,1,1,6,2,0,6,0,2,5,2,2,2,6
25694,1,36,67728,13,0,50,1,-1,0,0,1,0,0,1,1,1,0,2,1,0,3,3,2,3,1,0,0,0,4,5,1,5,0,2,6,3,5,3,7,5,1,1,6,2,5,6,0,2,4,1,2,2,6
39367,1,40,246949,9,0,40,0,-1,1,0,0,1,0,2,1,0,1,2,2,0,0,2,2,4,2,2,3,0,5,4,4,0,0,6,1,6,2,3,2,3,3,0,6,0,4,3,4,2,0,0,4,8,0
18533,0,20,238685,10,0,32,0,-1,1,0,0,1,0,0,1,2,1,2,3,0,0,2,2,2,1,3,1,0,1,1,5,2,0,5,0,2,4,3,3,1,6,5,6,7,0,3,2,2,8,2,8,3,6
11497,1,27,120126,13,0,45,1,-1,0,0,1,0,0,1,1,1,0,2,1,0,3,3,2,3,2,0,0,0,4,1,1,5,0,0,0,3,5,3,7,1,1,1,6,2,0,6,0,2,4,2,2,2,0
3617,1,17,354201,9,0,40,0,-1,1,0,0,1,0,0,1,0,2,2,2,0,2,2,2,2,1,2,2,0,5,5,2,0,0,5,6,6,2,3,3,5,3,0,6,4,5,0,1,2,3,1,4,3,0
13909,0,19,98605,10,0,20,0,-1,0,0,0,1,0,0,1,2,1,1,3,0,0,2,0,2,1,3,1,4,1,5,5,2,0,3,0,2,4,0,6,5,6,5,7,3,5,4,2,5,2,1,7,6,2
31723,1,35,189092,13,0,40,1,-1,0,0,1,0,0,0,1,1,0,2,2,0,3,3,2,3,2,0,0,0,4,1,1,5,0,0,0,3,5,2,7,1,1,1,6,2,0,6,0,2,4,2,2,2,5
7565,0,41,277390,13,0,30,1,-1,0,1,0,1,0,2,0,2,1,2,2,1,0,0,2,1,4,4,3,0,5,2,4,1,0,0,2,6,6,2,7,7,5,6,7,2,7,5,3,2,3,3,6,9,5
4865,1,22,162869,10,0,65,0,-1,0,1,1,1,0,0,0,1,1,2,2,1,1,0,2,3,4,1,3,0,3,2,3,1,0,1,2,0,2,3,2,7,2,0,6,6,7,1,6,2,0,3,1,7,0
39544,0,37,229647,9,0,42,0,-1,1,0,0,1,0,0,1,2,1,2,2,0,0,0,2,4,2,4,3,0,5,4,4,4,0,6,1,6,3,3,2,1,7,0,6,0,8,3,1,2,0,7,4,3,0
10941,1,58,373344,2,0,40,0,-1,1,1,0,1,0,2,2,0,1,2,0,2,1,2,2,4,0,1,3,0,3,0,0,4,0,6,4,1,0,3,5,4,4,2,6,8,6,2,1,2,6,4,0,5,0
15482,1,28,114053,10,0,30,0,-1,0,0,0,1,0,1,0,0,2,2,1,1,2,1,2,2,1,2,4,0,2,5,2,3,0,3,6,5,1,3,6,5,0,3,6,3,5,8,8,2,7,1,3,4,0
4878,1,29,206351,6,5013,40,0,-1,1,1,0,1,0,0,0,0,2,2,2,3,2,1,2,2,3,2,2,0,3,0,2,0,0,3,5,5,2,3,4,2,0,0,6,1,1,8,1,2,8,5,3,8,0
13433,1,44,175641,7,0,40,1,-1,1,0,0,1,0,1,0,0,1,2,1,1,1,2,2,0,1,1,3,0,2,5,0,4,0,6,6,1,0,3,5,5,4,2,6,0,2,2,5,2,1,9,0,8,0
4273,0,23,257621,13,0,45,0,-1,0,0,0,1,0,0,0,2,1,2,2,1,0,0,2,3,1,4,3,0,4,5,4,1,0,0,6,6,6,3,3,5,5,6,6,2,5,5,3,2,4,1,6,9,0
29060,1,28,314649,10,0,60,0,-1,1,1,0,1,0,0,0,2,1,2,2,1,0,2,2,4,4,4,3,0,3,2,4,1,0,1,2,6,2,3,0,0,3,0,6,6,2,1,6,2,3,9,4,7,0
30244,1,22,408383,10,0,40,0,-1,1,0,0,1,0,0,1,2,2,2,2,0,2,2,2,4,1,2,2,0,5,5,2,0,0,5,0,6,2,3,0,5,3,0,6,4,5,0,1,2,3,1,4,3,6
44331,1,39,256294,9,0,40,0,-1,1,0,0,1,0,2,1,0,1,2,2,0,0,2,2,4,2,2,2,0,5,4,4,0,0,6,1,6,2,3,0,3,3,0,6,0,4,0,4,2,3,0,4,8,0
25834,0,66,302072,12,0,40,0,-1,1,1,0,1,0,2,0,2,1,2,0,1,0,0,2,1,3,4,3,0,0,2,4,1,4,4,5,6,6,3,1,7,7,4,6,8,7,5,1,2,1,3,9,0,6
47079,0,46,178642,9,0,40,1,0,1,0,0,1,0,1,1,2,1,2,0,0,0,0,2,0,2,4,3,0,0,4,4,4,0,6,1,4,3,3,1,3,7,4,6,0,4,7,1,2,1,0,9,0,0
19148,0,17,225106,6,0,18,0,-1,1,1,0,1,0,0,0,2,1,2,3,1,0,2,2,2,4,3,1,0,1,2,5,2,0,5,2,2,4,2,4,0,6,5,6,7,2,4,2,5,2,9,7,6,0
20356,0,37,127918,10,0,20,0,-1,0,0,0,1,0,1,0,2,1,2,3,1,0,2,2,0,1,1,3,0,1,5,0,4,0,3,6,4,2,3,6,0,7,4,6,3,2,4,1,2,2,9,7,0,0
43135,0,51,237295,10,0,40,0,-1,1,0,0,1,0,2,1,2,1,2,0,0,0,0,2,4,2,4,3,0,0,1,4,4,0,6,0,4,3,3,1,1,7,4,6,8,0,7,1,2,1,2,9,0,6
32707,0,62,369734,9,0,40,0,-1,1,1,0,1,0,2,0,2,1,2,0,1,0,0,0,4,3,4,3,3,5,2,4,1,5,6,5,6,2,0,0,7,3,0,5,8,7,3,1,2,1,3,4,3,2
39221,1,44,366180,13,0,50,0,-1,1,1,1,0,0,2,0,1,0,1,2,1,3,3,2,1,4,0,0,0,5,2,1,1,0,0,2,6,2,0,0,0,3,0,7,4,2,0,1,0,3,9,4,3,2
42234,1,33,204374,14,0,38,0,-1,0,0,1,0,0,0,1,1,0,2,2,0,3,3,2,3,2,0,0,0,4,1,1,5,0,0,0,3,5,3,7,1,1,1,6,2,0,6,0,2,4,2,2,2,6
4303,1,30,65278,9,0,40,1,-1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,2,0,2,1,4,0,2,4,3,3,0,3,1,5,1,3,6,3,0,3,6,3,4,8,8,2,7,0,3,4,0
20279,1,44,197462,9,0,40,0,-1,1,0,0,1,0,2,1,0,1,2,0,0,1,2,2,4,2,1,3,0,2,4,0,4,0,6,1,4,0,3,2,3,4,2,6,0,4,2,5,2,1,0,3,8,0
36257,1,59,258883,11,0,40,0,-1,1,0,1,0,0,2,0,2,1,2,0,1,0,2,0,1,4,1,3,0,0,2,0,4,0,4,2,1,0,0,1,0,4,2,7,8,2,2,1,2,1,9,0,5,2
32109,0,66,93318,9,0,40,0,-1,1,0,0,1,0,1,1,2,1,2,0,0,1,0,2,0,1,4,3,0,0,5,4,4,0,4,0,4,3,3,1,5,7,4,6,5,5,7,1,2,1,1,9,0,0
42698,0,24,175778,13,0,40,0,-1,0,0,0,1,0,0,1,2,1,2,2,0,0,0,2,3,2,4,3,0,4,1,4,1,0,0,0,6,6,3,3,1,5,6,6,2,0,5,3,2,4,2,6,9,0
35881,1,30,111567,10,0,40,1,-1,0,0,0,1,0,1,1,0,2,2,1,0,0,1,2,0,2,2,4,0,2,4,3,3,0,3,1,5,1,3,6,1,0,3,6,3,8,8,8,2,7,7,3,4,0
45485,1,34,245211,14,0,40,1,-1,0,0,1,0,0,0,1,1,0,2,2,0,3,3,2,3,1,0,0,0,4,5,1,5,0,0,0,3,5,3,7,5,1,1,6,2,5,6,0,2,4,1,2,2,0
25113,1,58,53481,13,0,70,0,-1,0,1,1,0,0,1,2,1,1,2,0,3,3,0,2,3,3,0,0,0,0,0,3,1,0,1,4,0,2,3,7,4,2,0,6,6,1,1,6,2,5,5,1,7,0
40840,1,36,101192,9,0,40,1,-1,1,0,0,1,0,1,1,0,1,2,1,0,1,0,2,0,2,1,4,0,2,4,3,3,0,3,1,5,1,3,6,3,0,3,6,1,4,8,8,2,7,0,3,4,0
25956,1,46,63299,9,0,50,0,-1,1,0,0,1,0,1,1,2,1,2,1,1,1,0,2,0,1,1,4,0,2,5,3,1,0,4,6,0,0,3,1,5,2,2,6,6,5,8,6,2,9,1,3,7,0
46629,1,67,116502,9,0,30,0,-1,1,1,0,1,0,2,0,2,1,2,0,1,1,2,2,0,4,1,3,0,0,2,0,4,0,4,2,1,0,3,1,0,4,2,6,5,7,2,5,2,1,3,0,5,0
44755,1,17,260978,7,0,14,0,-1,1,0,0,1,0,0,0,0,2,2,3,1,2,1,2,2,1,2,2,0,1,5,2,0,0,5,6,5,1,3,4,0,0,3,6,7,2,0,8,2,2,9,5,4,0
24573,1,35,140854,9,0,60,0,-1,1,0,1,1,0,1,1,2,1,2,2,0,1,0,2,0,1,1,3,0,2,5,3,1,0,1,0,0,2,3,2,5,2,0,6,6,5,1,6,2,0,1,1,7,0
15769,1,32,123291,8,0,40,0,-1,1,0,0,1,0,1,1,0,2,2,1,0,1,1,2,0,2,1,4,0,2,1,3,3,0,3,0,5,1,3,6,1,0,3,6,1,0,8,8,2,7,2,3,4,0
21240,1,54,175262,4,0,40,0,-1,1,1,0,1,0,2,0,0,1,2,0,1,1,2,2,4,4,1,3,0,3,2,0,4,0,6,2,1,0,3,5,0,4,2,6,5,2,2,1,2,6,9,0,5,0
4524,1,19,39026,9,0,30,0,-1,0,0,0,1,0,1,0,0,2,2,1,1,2,1,3,2,4,2,4,0,1,2,2,3,3,3,2,5,1,4,6,0,0,3,3,3,2,8,8,2,7,9,3,4,7
41193,0,27,89813,13,0,40,0,-1,0,0,0,1,0,1,1,2,1,2,1,0,0,0,2,3,2,4,3,0,4,1,4,1,0,0,0,6,6,3,6,1,5,6,6,2,0,5,3,2,4,2,6,9,0
35280,0,39,219137,12,0,40,0,-1,0,0,0,1,0,0,1,2,1,2,2,0,0,0,2,1,2,4,3,0,4,1,4,1,0,0,0,6,6,3,7,1,5,6,6,2,0,5,3,2,4,2,6,9,0
11335,0,43,281422,12,0,45,0,-1,1,0,0,1,0,2,0,2,1,2,2,1,0,0,2,1,4,4,3,0,5,2,4,1,0,0,6,6,6,3,0,0,5,6,6,8,2,5,3,2,3,9,6,3,6
21531,1,25,152503,10,0,40,0,-1,0,0,0,1,0,0,1,0,2,2,1,0,2,1,2,2,2,2,4,0,2,4,2,3,0,3,1,5,1,3,6,1,0,3,6,1,8,8,4,2,8,7,3,8,0
25109,1,34,195602,12,0,44,0,-1,0,0,1,0,0,0,1,1,0,2,2,0,3,3,2,3,1,0,0,0,4,5,1,5,0,0,0,3,5,3,7,5,1,1,6,2,5,6,0,2,4,1,2,2,6
31872,0,61,153408,14,0,40,1,-1,0,0,1,1,0,2,0,2,1,2,0,1,0,0,2,1,1,4,3,0,0,5,4,1,0,2,6,6,6,2,7,5,5,6,6,2,2,5,3,2,5,9,6,9,5
1175,1,58,169982,10,0,40,1,-1,1,0,0,1,0,2,1,2,1,2,0,0,1,2,2,1,2,1,3,0,0,4,0,4,0,4,1,1,0,3,1,1,4,2,6,5,8,2,5,2,1,7,0,5,0
19825,1,31,164190,6,0,40,0,-1,1,0,0,1,0,0,0,0,2,2,1,1,2,1,2,2,1,2,2,0,3,5,2,0,0,3,6,5,1,3,4,5,0,3,6,1,5,0,1,2,7,1,3,4,0
20188,1,50,65160,13,0,40,0,-1,0,0,1,0,0,1,1,1,0,2,1,0,3,3,2,1,2,0,0,0,0,1,1,5,5,2,0,3,5,3,7,1,1,1,6,2,0,6,0,2,5,2,2,2,6
2004,1,39,192337,13,0,50,0,-1,0,0,1,0,0,1,1,1,0,2,2,0,3,3,2,3,1,0,0,0,4,5,1,5,0,2,0,3,5,3,7,5,1,1,6,2,5,6,0,2,4,1,2,2,6
7133,1,41,174395,14,0,40,1,-1,0,0,1,0,0,1,1,1,0,2,1,0,3,3,2,1,2,0,0,0,4,1,1,5,0,2,0,3,5,3,7,1,1,1,6,2,0,6,0,2,5,2,2,2,6
45937,1,45,55272,11,0,40,0,-1,0,0,0,1,0,1,1,2,1,2,1,0,1,0,2,0,1,1,4,0,0,1,3,4,0,4,0,4,0,3,1,5,4,2,6,2,5,8,5,2,9,2,3,5,6
18049,1,36,484024,9,0,40,0,-1,1,1,0,1,0,2,0,2,1,2,2,1,2,2,2,4,4,2,2,0,5,2,2,0,0,5,2,6,2,3,0,7,3,0,6,4,7,0,1,2,3,3,4,3,0
3000,1,31,259931,4,0,40,0,-1,1,1,0,1,0,0,0,0,1,2,2,1,2,2,2,2,3,2,2,0,3,2,0,0,0,5,5,1,2,3,4,7,3,0,6,7,7,0,1,2,8,3,4,3,0
29683,1,25,141876,14,0,45,0,-1,0,0,1,0,0,0,0,1,0,2,1,1,3,3,2,3,1,0,0,0,4,5,1,5,0,0,6,3,5,3,7,5,1,1,6,2,5,6,0,2,4,1,2,2,0
16840,1,62,199193,9,0,25,0,-1,1,1,0,1,0,2,0,2,1,2,0,1,1,2,2,4,4,1,3,0,0,2,0,4,0,4,2,1,0,3,1,7,4,2,6,5,7,2,5,2,1,3,0,5,0
26232,1,35,218955,13,0,40,0,-1,0,0,1,0,0,0,1,1,0,2,2,0,3,3,2,3,2,0,0,0,4,1,1,5,0,0,0,3,5,3,7,1,1,1,6,2,0,6,0,2,4,2,2,2,0
1422,0,40,202872,12,0,45,0,-1,0,0,0,1,0,1,1,2,1,2,2,0,0,0,2,3,1,4,3,0,4,5,4,1,0,2,6,6,6,3,7,5,5,6,6,2,5,5,3,2,0,1,6,9,6
9194,0,55,170169,9,0,40,0,-1,1,0,0,1,0,2,1,2,1,2,0,0,0,0,2,4,2,4,3,0,0,4,4,4,0,4,1,4,3,3,1,3,7,4,6,5,4,7,1,2,1,0,9,0,6
26229,0,35,261012,10,0,40,0,-1,1,0,0,1,0,0,1,2,1,2,2,0,0,0,2,4,2,4,3,0,5,4,4,1,0,5,1,6,2,3,3,1,3,0,6,1,8,3,1,2,3,7,4,3,0
34271,0,53,94186,12,0,37,0,-1,0,0,0,1,0,1,1,2,1,2,0,0,0,0,2,1,1,4,3,0,0,5,4,1,0,4,6,4,6,3,1,5,5,4,6,5,5,5,1,2,9,1,6,0,6
14198,0,39,206253,13,0,40,0,-1,0,0,0,1,0,1,1,2,1,2,2,0,0,0,2,3,2,4,3,0,4,1,4,1,0,2,0,6,6,3,7,1,5,6,6,2,0,5,3,2,4,2,6,9,0
47220,1,27,262723,10,0,40,0,-1,1,0,0,1,0,0,1,0,2,2,2,0,2,1,2,2,2,2,2,0,5,1,2,0,0,5,0,6,2,3,3,1,3,0,6,7,0,0,4,2,8,7,4,3,0
48161,1,34,103642,9,0,40,0,-1,1,0,0,1,0,1,1,0,1,2,1,0,1,0,2,0,2,1,4,0,2,4,3,3,0,3,1,5,1,3,6,3,0,3,6,3,4,8,8,2,7,0,3,4,0
147,0,36,108293,9,0,24,0,-1,1,0,0,1,0,1,0,2,1,2,1,1,0,2,2,0,1,1,1,0,1,5,5,4,0,3,6,4,2,3,6,5,7,0,6,3,2,4,1,2,7,9,7,6,0
21528,0,55,194065,12,0,40,0,-1,0,0,0,1,0,2,0,2,1,2,0,1,0,0,2,1,1,4,3,0,0,5,4,1,0,4,6,4,6,3,1,5,5,4,6,8,5,5,1,2,1,1,6,0,0
40318,1,42,27085,10,0,40,0,-1,0,0,0,1,0,1,1,2,1,2,1,0,1,0,2,0,1,1,4,0,2,1,3,3,0,3,0,4,0,3,6,1,0,2,6,3,0,8,8,2,9,2,3,4,0
30170,0,20,26842,10,2176,40,0,-1,0,0,0,1,0,1,0,2,1,2,1,1,0,0,2,0,1,1,3,0,2,2,4,4,0,3,6,4,3,3,6,0,7,7,6,3,2,3,7,2,7,9,8,1,0
32941,1,64,192715,13,0,10,0,-1,0,1,1,0,0,2,2,2,1,2,0,3,0,2,2,1,3,1,3,0,0,0,0,4,5,4,4,1,0,3,1,4,4,2,6,5,1,2,1,2,1,5,0,5,6
20182,0,39,170382,14,0,50,1,-1,0,0,1,1,0,1,1,2,1,2,2,0,0,0,2,3,1,4,3,0,4,5,4,1,0,2,6,6,6,3,7,5,5,6,6,2,5,5,3,2,5,1,6,9,0
32206,0,18,41381,9,0,20,0,-1,0,0,0,1,0,1,0,2,1,2,3,1,0,2,2,2,1,3,1,0,1,5,5,2,0,3,6,2,4,3,6,5,6,5,6,3,5,4,2,2,2,1,7,6,6
40509,1,38,227615,7,0,40,0,-1,1,0,0,1,0,0,0,0,1,2,2,1,0,2,2,4,4,1,2,0,3,2,2,0,0,6,2,4,2,3,4,0,0,0,6,0,2,3,4,2,8,9,4,8,0
27434,1,35,253006,10,7688,38,1,-1,1,1,1,1,0,0,0,2,1,2,2,1,0,0,2,4,4,4,3,0,5,2,4,1,0,5,5,4,2,3,3,7,7,0,6,1,7,3,1,2,3,3,4,3,1
47104,1,34,450141,13,15024,35,1,-1,1,1,1,1,0,2,2,2,1,2,2,2,0,0,2,4,0,4,3,0,5,3,4,1,0,5,3,4,2,3,0,6,7,0,6,4,3,3,1,2,3,8,4,3,0
13685,0,44,277720,10,0,35,0,-1,1,0,0,1,0,2,0,2,1,2,0,1,0,0,2,4,1,4,3,0,5,5,4,1,0,6,6,6,2,3,0,5,3,0,6,8,5,3,1,2,3,1,4,3,0
26776,1,50,129956,9,0,48,1,-1,1,0,0,1,0,1,0,2,1,2,0,1,1,0,2,0,1,1,3,0,0,5,0,4,4,6,6,0,0,3,1,5,4,2,6,5,5,2,5,2,9,1,0,5,8
38529,1,34,201874,9,0,40,0,-1,1,0,0,1,0,0,1,0,2,2,2,0,2,1,2,2,2,2,2,0,2,4,2,3,0,6,1,5,2,3,3,3,0,0,6,1,4,8,4,2,8,0,3,8,6
4280,1,64,114994,9,0,20,0,-1,1,1,0,1,0,1,0,2,1,2,0,1,1,2,2,0,4,1,3,0,0,2,0,4,0,4,2,1,0,3,1,7,4,2,6,5,7,2,1,2,1,3,0,5,0
2741,1,47,189123,9,0,40,0,0,1,0,0,1,0,2,1,2,1,2,0,0,1,2,2,4,2,1,3,0,0,4,0,4,0,6,1,1,0,3,1,3,4,2,6,0,4,2,5,2,1,0,0,8,0
26036,0,38,277022,10,0,40,0,-1,1,0,0,1,0,2,1,2,1,2,2,0,0,0,2,4,2,4,3,0,5,1,4,1,0,5,0,6,2,3,0,1,3,0,6,8,0,3,1,2,3,2,4,3,0
36309,1,67,427422,10,2414,16,0,-1,1,1,0,1,0,2,2,2,1,2,0,2,0,2,0,4,0,1,3,3,5,3,0,4,5,6,3,1,0,6,0,4,4,2,5,8,6,2,1,7,1,8,0,5,9
11993,1,53,139671,13,0,40,1,-1,0,0,1,0,0,1,1,1,0,2,0,0,3,3,2,1,2,0,0,0,0,1,1,5,4,2,0,3,5,3,7,1,1,1,6,2,0,6,0,2,5,2,2,2,6
7229,0,36,285865,13,0,40,0,-1,0,0,0,1,0,0,1,2,1,2,2,0,0,0,2,3,1,4,3,0,4,1,4,1,0,0,0,6,6,3,7,5,5,6,6,2,5,5,3,2,3,2,6,9,0
30079,0,40,406811,9,0,40,0,-1,1,0,0,1,0,2,0,2,1,2,2,1,0,2,0,4,4,4,3,4,5,2,4,1,0,5,2,6,2,0,0,0,3,0,7,4,2,3,1,0,3,9,4,3,2
29081,0,19,164938,10,0,25,0,-1,0,0,0,1,0,0,1,2,1,2,3,0,0,2,2,2,1,3,1,0,1,5,5,2,0,3,0,2,4,3,3,5,6,5,6,3,5,4,2,5,2,1,7,6,0
5843,1,23,224954,10,0,25,0,-1,1,0,0,1,0,0,1,0,2,2,3,0,2,1,2,2,1,2,2,0,1,1,2,0,0,5,0,5,1,3,3,1,0,3,6,7,0,0,8,5,2,2,5,4,0
8489,1,24,189148,10,0,40,0,-1,1,0,0,1,0,0,1,0,2,2,2,0,2,1,2,2,2,2,2,0,2,4,2,3,4,3,1,5,1,3,3,1,0,3,6,7,8,8,4,2,8,7,3,8,8
