,Unnamed: 0,marital,age,balance,duration,GroundTruth,GroundTruth_DB,FairDEN,FairSC_normalized,FairSC
61,43630,0,49,1405,29,0,0,0,0,1
62,34141,2,35,538,313,0,0,0,0,1
63,40547,1,31,10884,294,1,0,1,0,1
64,23412,1,41,1559,74,0,0,0,1,1
65,1205,1,40,103,135,0,0,0,1,1
66,12266,2,25,52,528,1,0,0,0,1
67,1504,1,41,393,110,0,0,0,1,1
68,36389,1,31,2190,25,0,0,1,1,0
69,24378,1,44,508,158,0,0,0,0,1
70,12136,1,52,945,16,0,0,0,0,1
71,14055,1,53,-670,86,0,0,0,0,1
72,29485,2,27,127,449,0,0,0,0,1
73,35470,1,45,264,113,0,0,0,0,1
74,1041,1,29,190,51,0,0,0,1,0
75,30351,2,60,473,175,0,0,0,0,1
76,9296,1,45,334,87,0,0,0,0,1
77,38043,0,51,94,77,0,0,0,0,1
78,29164,1,39,4,871,0,0,1,0,1
79,11533,1,56,5310,74,0,0,1,0,1
80,42274,1,30,1307,248,0,0,0,1,0
81,26468,1,59,6888,1025,1,0,1,0,1
82,39692,1,32,625,352,0,0,0,1,0
83,44883,1,77,397,207,0,0,1,0,1
84,42382,1,30,2166,316,1,0,0,1,0
85,19062,1,43,2126,92,0,0,0,0,1
86,29961,2,29,853,239,0,0,0,0,1
87,24232,1,36,5057,70,0,0,0,0,1
88,3703,2,43,2539,529,0,0,1,0,1
89,8532,2,40,1820,173,0,0,0,0,1
90,32145,1,48,543,152,0,0,0,0,1
91,30731,2,32,-359,122,0,0,0,1,1
92,924,2,30,112,245,0,0,0,1,1
93,39582,1,52,1629,192,0,0,0,0,1
94,28776,1,38,168,151,0,0,0,1,0
95,33268,1,38,0,305,0,0,0,1,1
96,2481,1,60,1262,1015,1,0,1,0,1
97,22370,1,32,3601,171,0,0,0,0,1
98,19935,1,38,484,173,0,0,0,1,0
99,25459,1,30,521,648,0,0,0,0,1
100,9558,1,54,378,371,0,0,0,0,1
101,35158,2,29,2891,293,0,0,1,0,1
102,23764,1,56,67,88,0,0,0,0,1
103,37159,2,38,2253,937,1,0,1,0,1
104,38782,1,30,-146,167,0,0,0,1,0
105,26075,2,41,4517,137,0,0,1,0,1
106,14460,1,36,223,12,0,0,0,1,0
107,21502,2,30,126,256,0,0,0,0,1
108,8873,1,53,579,1224,0,0,1,0,1
109,31074,2,29,316,156,1,0,0,1,1
110,16289,0,46,91,182,0,0,0,1,1
111,12679,0,54,5253,17,0,0,1,0,1
112,22875,2,34,250,64,0,0,0,1,1
113,29162,1,53,598,340,0,0,0,0,1
114,12342,1,55,625,48,0,0,0,0,1
115,3826,1,38,467,379,0,0,0,1,1
116,41856,2,20,0,69,0,0,0,1,1
117,18780,1,56,3480,124,0,0,0,0,1
118,6768,2,29,5980,317,0,0,1,0,1
119,30426,2,29,111,98,0,0,0,1,1
120,9196,1,40,1779,59,0,0,0,1,1
121,30208,1,40,632,611,0,0,0,0,1
122,40719,2,38,0,255,0,0,0,0,1
123,25951,1,39,4136,194,0,0,0,0,1
124,24394,0,45,3150,101,0,0,0,0,1
125,29896,1,43,953,765,1,0,1,0,1
126,40139,1,61,997,269,1,0,0,0,1
127,39077,1,40,664,29,0,0,0,1,1
128,26461,1,34,17672,548,0,0,1,0,1
129,15847,1,44,26,105,0,0,0,0,1
130,36742,1,40,949,285,0,0,0,0,1
131,27128,2,37,0,232,0,0,0,0,1
132,14699,1,37,20,469,0,0,0,0,1
133,1591,1,36,491,103,0,0,0,1,0
134,42148,0,60,4,415,1,0,0,0,1
135,36522,1,51,-287,814,0,0,1,0,1
136,11229,1,55,0,324,0,0,0,0,1
137,3614,1,57,388,262,0,0,0,0,1
138,27788,2,27,3,131,0,0,0,1,1
139,8371,2,31,1166,207,0,0,0,0,1
140,22349,2,58,0,72,0,0,0,0,1
141,7,0,42,2,380,0,0,0,0,1
142,31726,1,36,1198,278,0,0,0,1,1
143,33631,2,35,183,78,0,0,0,1,1
144,13585,1,56,343,77,0,0,0,0,1
145,699,2,24,77,390,0,0,0,0,1
146,14787,1,41,0,211,0,0,0,1,1
147,44525,1,62,2557,211,1,0,1,0,1
148,2608,1,40,1117,280,0,0,0,0,1
149,16721,0,59,3331,43,0,0,1,0,1
150,40717,1,74,0,562,1,0,1,0,1
151,40004,2,30,601,80,0,0,0,1,1
152,21873,1,50,-219,177,0,0,0,0,1
153,31886,1,62,1084,505,1,0,1,0,1
154,42771,1,47,3715,171,1,0,0,0,1
155,7291,1,33,-416,431,0,0,0,1,1
156,31513,2,35,744,1096,0,0,1,0,1
157,21949,2,31,2085,147,0,0,0,0,1
158,21627,1,56,0,486,0,0,0,0,1
159,28981,1,34,926,655,0,0,0,0,1
160,1211,2,36,49,405,0,0,0,0,1
161,13994,1,52,142,924,0,0,1,0,1
162,13909,1,30,5,829,1,0,0,0,1
163,9027,1,37,2132,232,0,0,0,1,1
164,11720,2,56,4365,361,0,0,1,0,1
165,22475,2,31,373,346,0,0,0,0,1
166,1878,1,45,137,274,0,0,0,0,1
167,40884,1,50,2218,711,1,0,1,0,1
168,7906,1,40,303,104,0,0,0,1,1
169,35981,1,46,5130,181,0,0,1,0,1
170,30800,1,48,354,37,0,0,0,0,1
171,5309,2,34,1880,297,0,0,0,0,1
172,19744,1,42,42045,205,0,-1,1,0,1
173,33704,1,38,0,571,1,0,0,0,1
174,2115,0,56,75,136,0,0,0,0,1
175,44344,2,38,490,17,0,0,0,0,1
176,15431,2,38,-61,102,0,0,0,0,1
177,44293,1,49,1830,261,1,0,0,0,1
178,42473,1,63,2716,205,0,0,1,0,1
179,28149,0,40,94,121,0,0,0,1,1
180,14512,0,49,30,439,0,0,0,0,1
181,29568,1,31,302,181,0,0,0,1,0
182,28821,1,36,812,138,0,0,0,1,0
183,3101,1,29,424,241,0,0,0,1,0
184,42467,2,32,307,96,0,0,0,1,1
185,25061,1,38,0,185,0,0,0,1,0
186,2039,0,57,0,144,0,0,0,0,1
187,19221,1,44,313,211,0,0,0,0,1
188,38853,2,48,428,127,0,0,0,0,1
189,3552,1,56,2256,171,0,0,0,0,1
190,538,1,34,-144,79,0,0,0,1,0
191,25732,1,34,4028,98,0,0,0,0,1
192,7142,1,36,1423,193,0,0,0,1,0
193,17587,1,59,0,45,0,0,0,0,1
194,15670,1,58,471,61,0,0,0,0,1
195,8415,2,36,743,517,0,0,0,0,1
196,14340,1,32,2353,334,0,0,1,1,1
197,29196,2,32,1534,199,0,0,0,0,1
198,33281,1,73,253,345,1,0,1,0,1
199,40260,1,32,51,297,1,0,0,1,0
200,7577,2,43,30,379,0,0,0,0,1
201,14069,1,55,983,41,0,0,0,0,1
202,19417,2,41,0,91,0,0,0,0,1
203,25802,1,37,332,342,0,0,0,1,1
204,4655,1,32,908,64,0,0,0,1,0
205,1177,2,25,1348,109,0,0,0,1,1
206,13602,2,29,-223,208,0,0,0,1,1
207,3805,1,40,1126,22,0,0,0,1,1
208,6484,0,40,-78,67,0,0,0,1,1
209,6272,1,31,66,121,0,0,0,1,0
210,7625,1,49,-209,171,0,0,0,0,1
211,27859,1,58,1,536,0,0,0,0,1
212,26208,0,46,931,90,0,0,0,0,1
213,36549,1,41,449,313,0,0,0,0,1
214,40839,2,72,614,553,0,0,1,0,1
215,16436,2,28,153,1124,1,0,1,0,1
216,15836,2,58,6570,106,0,0,1,0,1
217,4309,2,51,1146,458,0,0,1,0,1
218,32320,1,53,51,109,0,0,0,0,1
219,19608,1,46,2098,110,0,0,0,0,1
220,23625,1,33,968,95,0,0,0,1,0
221,25845,1,35,0,644,1,0,0,0,1
222,28071,1,53,1770,147,0,0,0,0,1
223,21414,0,37,481,97,0,0,0,1,1
224,15671,1,34,865,51,0,0,0,1,0
225,15420,1,53,225,171,0,0,0,0,1
226,41044,1,48,1519,360,0,0,0,0,1
227,16472,2,26,5829,41,0,0,1,0,1
228,5289,2,32,3050,298,0,0,0,0,1
229,18794,1,49,324,227,0,0,0,0,1
230,3553,1,43,778,284,0,0,0,0,1
231,41718,0,33,2411,130,1,0,0,0,1
232,13094,1,55,197,256,0,0,0,0,1
233,30847,2,37,248,77,0,0,0,0,1
234,18857,1,57,166,58,0,0,0,0,1
235,30089,2,31,3528,132,0,0,0,0,1
236,35819,0,46,1807,62,0,0,0,0,1
237,25527,0,41,8106,39,0,0,1,0,1
238,2829,0,39,517,1328,1,0,1,0,1
239,22531,1,30,394,216,0,0,0,1,0
240,7326,1,46,2940,195,0,0,0,0,1
241,14026,1,39,37,467,0,0,0,0,1
242,15974,1,40,268,352,0,0,0,0,1
243,9212,1,35,214,247,0,0,0,1,0
244,37940,0,52,-100,7,0,0,0,0,1
245,6929,2,35,137,667,0,0,0,0,1
246,2111,2,30,-149,164,0,0,0,1,1
247,19912,1,43,21510,248,0,0,1,0,1
248,7682,1,52,2144,60,0,0,0,0,1
249,10220,1,40,1325,150,0,0,0,1,1
250,37224,1,47,6150,444,0,0,1,0,1
251,8037,1,35,314,464,0,0,0,1,1
252,11424,1,50,1179,30,0,0,0,0,1
253,39882,2,40,985,592,1,0,0,0,1
254,14529,1,34,390,659,0,0,0,0,1
255,42416,1,45,5021,233,1,0,1,0,1
256,8064,2,27,1237,535,0,0,1,0,1
257,7803,1,51,752,214,0,0,0,0,1
258,6576,1,45,-54,372,0,0,0,0,1
259,30032,1,54,844,8,0,0,0,0,1
260,33070,1,36,139,79,0,0,0,1,0
261,9726,1,43,861,78,0,0,0,0,1
262,8539,2,34,340,633,0,0,0,0,1
263,36623,1,44,870,118,0,0,0,0,1
264,35489,1,33,0,206,0,0,0,1,0
265,35034,0,26,-295,556,0,0,0,0,1
266,21093,2,30,114,65,0,0,0,1,1
267,33134,1,36,24,88,0,0,0,1,0
268,33563,0,41,1757,314,1,0,0,0,1
269,43181,2,36,12264,158,1,0,1,0,1
270,8002,1,39,22,493,0,0,0,0,1
271,4250,1,32,101,191,0,0,0,1,0
272,42004,0,77,3417,134,1,0,1,0,1
273,44004,0,41,663,24,0,0,0,1,1
274,43133,2,27,6036,175,1,0,1,0,1
275,19709,1,58,208,121,0,0,0,0,1
276,3236,1,43,1620,121,0,0,0,0,1
277,811,1,47,733,268,0,0,0,0,1
278,10176,1,45,750,183,0,0,0,0,1
279,5079,1,38,6704,205,0,0,1,0,1
280,38339,2,27,7944,99,0,0,1,0,1
281,20489,1,35,0,64,0,0,0,1,0
282,5171,2,31,-280,281,0,0,0,0,1
283,3665,1,36,512,343,0,0,0,1,1
284,3203,1,27,0,312,0,0,0,1,0
285,40251,2,23,870,316,1,0,1,0,1
286,23491,1,42,1013,117,0,0,0,0,1
287,11555,0,52,98,148,0,0,0,0,1
288,27025,1,46,39,64,0,0,0,0,1
289,44793,2,26,4859,90,0,0,1,0,1
290,26739,2,30,0,1329,0,0,1,0,1
291,31540,1,56,167,189,0,0,0,0,1
292,6202,2,28,0,290,0,0,0,0,1
293,2439,1,27,232,1167,0,0,1,0,1
294,25017,1,38,2008,354,0,0,0,0,1
295,19331,1,48,4459,536,0,0,1,0,1
296,15941,1,43,2,254,0,0,0,0,1
297,2419,2,29,-114,174,0,0,0,1,1
298,33840,2,31,2016,209,1,0,0,0,1
299,9557,0,59,40,108,0,0,0,0,1
300,103,1,59,179,55,0,0,0,0,1
301,33774,1,55,357,878,0,0,1,0,1
302,33600,1,37,0,242,1,0,0,1,0
303,10995,1,59,124,41,0,0,0,0,1
304,30042,0,35,440,103,0,0,0,1,1
305,30541,2,38,0,39,0,0,0,0,1
306,29902,1,54,688,379,0,0,0,0,1
307,6663,2,27,110,135,0,0,0,1,1
308,20848,1,42,1493,78,0,0,0,0,1
309,37890,2,31,342,117,0,0,0,1,1
310,39410,1,53,655,103,0,0,0,0,1
311,34267,0,51,734,17,0,0,0,0,1
312,12152,1,35,883,18,0,0,0,1,0
313,44520,2,22,224,5,0,0,1,1,1
314,15293,2,33,3269,316,0,0,0,0,1
315,28471,2,33,-53,617,0,0,0,0,1
316,15378,1,32,-203,67,0,0,0,1,0
317,8433,1,38,1221,258,0,0,0,1,1
318,28162,0,38,478,73,0,0,0,1,1
319,23912,1,45,183,27,0,0,0,0,1
320,28729,1,31,227,154,0,0,0,1,0
321,44478,1,77,1385,160,0,0,1,0,1
322,37129,0,40,282,240,0,0,0,1,1
323,15812,1,43,8,564,0,0,0,0,1
324,19906,1,41,3353,51,0,0,1,0,1
325,40063,2,27,138,89,1,0,0,1,1
326,22019,2,33,213,152,0,0,0,1,1
327,33062,2,30,63,260,0,0,0,0,1
328,20292,2,31,762,312,0,0,0,0,1
329,13684,1,34,-319,134,0,0,0,1,0
330,40495,1,47,677,384,0,0,0,0,1
331,41207,1,62,565,123,0,0,0,0,1
332,8249,1,58,2084,75,0,0,0,0,1
333,34273,2,30,0,57,0,0,0,1,1
334,6727,1,27,58,82,0,0,0,1,0
335,435,1,55,183,150,0,0,0,0,1
336,17327,2,31,20,141,0,0,0,1,1
337,27143,2,33,920,58,0,0,0,1,1
338,19743,1,52,1493,94,0,0,0,0,1
339,36319,2,27,541,341,0,0,0,0,1
340,13792,1,51,0,324,0,0,0,0,1
341,42743,2,30,4448,112,1,0,1,0,1
342,1692,2,35,337,127,0,0,0,1,1
343,43957,0,31,414,241,1,0,0,1,1
344,31505,2,30,297,465,1,0,0,0,1
345,966,2,29,703,129,0,0,0,1,1
346,16334,2,25,323,98,0,0,0,1,1
347,22236,1,55,0,64,0,0,0,0,1
348,8969,1,53,1630,160,0,0,0,0,1
349,32264,1,24,0,284,0,0,0,1,0
350,24630,1,35,3329,166,0,0,0,1,1
351,31561,1,33,0,487,0,0,0,1,1
352,26735,1,44,4580,192,0,0,1,0,1
353,20706,1,55,23,123,0,0,0,0,1
354,33320,2,34,1477,233,0,0,0,0,1
355,31621,1,32,303,150,1,0,0,1,0
356,22537,0,41,369,9,0,0,0,1,1
357,24414,1,44,0,58,0,0,0,0,1
358,24288,1,31,1144,89,0,0,0,1,0
359,16309,1,54,1319,70,0,0,0,0,1
360,39681,1,38,5115,318,1,0,1,0,1
361,36994,2,36,1129,444,0,0,0,0,1
362,6950,1,53,3443,48,0,0,0,0,1
363,31642,2,39,1048,201,0,0,0,0,1
364,24655,1,42,2249,228,0,0,0,0,1
365,14559,1,60,1091,778,0,0,1,0,1
366,29096,0,58,5701,521,1,0,1,0,1
367,17189,1,40,-496,22,0,0,0,1,1
368,107,1,34,61,21,0,0,0,1,0
369,44619,1,34,937,405,0,0,0,1,1
370,36320,1,41,849,100,0,0,0,1,1
371,2370,1,29,0,53,0,0,0,1,0
372,12971,1,46,14,407,0,0,0,0,1
373,31032,2,30,6836,30,0,0,1,0,1
374,16140,1,59,292,246,0,0,0,0,1
375,19990,1,46,269,188,0,0,0,0,1
376,40254,1,67,694,250,0,0,1,0,1
377,32061,1,34,352,288,0,0,0,1,0
378,38190,1,29,47,245,0,0,0,1,0
379,11938,1,52,649,7,0,0,0,0,1
380,29423,0,36,102,306,0,0,0,0,1
381,25967,1,53,32464,135,0,-1,1,0,1
382,37534,1,30,-97,255,0,0,0,1,0
383,3956,2,30,298,164,0,0,0,1,1
384,15975,1,48,380,188,0,0,0,0,1
385,24751,0,50,330,281,0,0,0,0,1
386,2274,1,32,-24,93,0,0,0,1,0
387,42200,2,30,1681,329,1,0,0,0,1
388,34782,1,47,-216,197,0,0,0,0,1
389,32396,1,35,293,1017,1,0,1,0,1
390,20173,1,57,2785,610,1,0,1,0,1
391,1012,2,39,406,68,0,0,0,0,1
392,24428,1,52,4504,268,0,0,1,0,1
393,32802,1,33,90,170,0,0,0,1,0
394,29934,2,28,198,976,1,0,1,0,1
395,44183,2,41,1646,172,1,0,0,0,1
396,1347,1,58,5,177,0,0,0,0,1
397,42502,1,50,51,199,0,0,0,0,1
398,32263,1,50,469,161,1,0,0,0,1
399,9985,1,46,399,699,0,0,1,0,1
400,33063,1,35,1345,163,0,0,0,1,0
401,9818,2,38,840,176,0,0,0,0,1
402,13184,1,33,1,135,0,0,0,1,0
403,32927,1,37,903,124,0,0,0,1,0
404,4054,1,35,474,55,0,0,0,1,0
405,35581,1,52,33,301,0,0,0,0,1
406,12032,1,56,277,9,0,0,0,0,1
407,5867,1,29,484,629,0,0,0,0,1
408,15318,1,31,557,111,0,0,0,1,0
409,35469,0,41,639,88,0,0,0,1,1
410,22551,2,33,0,135,0,0,0,1,1
411,11634,1,37,1818,193,0,0,0,1,1
412,7926,2,35,1609,288,0,0,0,0,1
413,23456,1,46,-3,205,0,0,0,0,1
414,2996,1,60,703,378,0,0,0,0,1
415,31324,2,38,2422,257,0,0,0,0,1
416,12607,1,36,59,100,0,0,0,1,0
417,3225,1,44,1033,71,0,0,0,0,1
418,26838,2,41,1982,558,1,0,1,0,1
419,21682,1,53,0,160,0,0,0,0,1
420,22114,1,54,77,180,0,0,0,0,1
421,23784,0,48,105,520,0,0,0,0,1
422,14713,2,33,-325,159,0,0,0,1,1
423,44264,2,36,353,361,1,0,0,0,1
424,14233,1,47,568,256,0,0,0,0,1
425,38861,2,33,135,153,0,0,0,1,1
426,17844,1,55,715,90,0,0,0,0,1
427,15873,1,46,5169,72,0,0,1,0,1
428,44434,2,29,1584,245,1,0,0,0,1
429,4875,1,31,1343,85,0,0,0,1,0
430,15970,2,29,652,285,0,0,0,0,1
431,5559,2,28,-303,277,0,0,0,1,1
432,27791,2,43,181,41,0,0,0,0,1
433,35330,1,57,1577,908,0,0,1,0,1
434,9623,1,60,2586,150,0,0,0,0,1
435,941,2,31,-45,246,0,0,0,0,1
436,10993,0,55,0,76,0,0,0,0,1
437,35443,1,34,1243,157,0,0,0,1,0
438,10709,2,60,470,100,0,0,0,0,1
439,4767,1,39,5,167,0,0,0,1,1
440,1575,1,40,523,598,0,0,0,0,1
441,15315,2,34,4963,226,0,0,0,0,1
442,15136,1,41,0,18,0,0,0,1,1
443,6524,0,49,15,550,0,0,0,0,1
444,33282,1,30,312,476,0,0,0,1,1
445,11646,0,56,-1968,60,0,0,1,0,1
446,331,1,42,57,425,0,0,0,0,1
447,22683,0,55,407,65,0,0,0,0,1
448,33681,2,26,6791,164,0,0,1,0,1
449,14343,0,42,-291,129,0,0,0,1,1
450,29422,2,32,5874,298,0,0,1,0,1
451,15933,1,36,399,139,0,0,0,1,0
452,2647,0,36,719,1052,0,0,1,0,1
453,3011,1,48,638,217,0,0,0,0,1
454,24513,2,41,7595,1121,0,0,1,0,1
455,11430,1,46,1844,29,0,0,0,0,1
456,31227,0,76,3049,170,1,0,1,0,1
457,37905,2,27,-145,289,0,0,0,1,1
458,18933,2,31,83,144,0,0,0,1,1
459,32908,2,22,3982,206,1,0,1,0,1
460,12541,2,48,31,154,0,0,0,0,1
461,30890,1,85,12114,165,1,-1,1,0,1
462,37456,1,48,503,105,0,0,0,0,1
463,13504,1,55,101,111,0,0,0,0,1
464,10512,2,29,510,179,0,0,0,1,1
465,35748,1,43,56,612,0,0,0,0,1
466,32159,2,31,1205,462,0,0,0,0,1
467,1182,1,38,54,180,0,0,0,1,0
468,33752,1,42,1559,368,1,0,0,0,1
469,26267,0,48,3520,73,0,0,0,0,1
470,15134,1,31,-30,804,0,0,0,0,1
471,18843,2,30,1673,200,0,0,0,0,1
472,39087,2,27,1842,687,0,0,1,0,1
473,27562,1,42,5,1067,0,0,1,0,1
474,2633,1,27,-588,531,0,0,1,1,1
475,21285,1,45,1629,58,0,0,0,0,1
476,21984,0,55,35,126,0,0,0,0,1
477,32440,1,54,551,251,0,0,0,0,1
478,28307,1,27,2735,205,0,0,1,1,0
479,38712,1,30,1211,176,0,0,0,1,0
480,26931,1,33,695,148,0,0,0,1,0
481,6390,1,40,-666,107,0,0,0,1,1
482,33075,1,42,0,72,0,0,0,1,1
483,25543,2,41,81,212,0,0,0,0,1
484,19372,1,48,504,227,0,0,0,0,1
485,12564,1,54,42,389,0,0,0,0,1
486,32607,0,38,382,397,0,0,0,0,1
487,32869,1,47,1203,239,0,0,0,0,1
488,41601,2,40,79,570,1,0,0,0,1
489,44844,2,31,410,182,1,0,0,1,1
490,28738,2,27,501,370,0,0,0,0,1
491,34930,1,40,1598,1074,1,0,1,0,1
492,8010,1,31,0,245,0,0,0,1,0
493,9953,1,35,-521,71,0,0,0,1,0
494,34451,0,33,1480,223,0,0,0,0,1
495,34393,2,29,197,19,0,0,0,1,1
496,41723,1,39,0,622,0,0,0,0,1
497,9435,1,52,9,44,0,0,0,0,1
498,43703,1,46,0,154,0,0,0,0,1
499,5902,1,33,0,192,0,0,0,1,0
500,42679,0,41,1232,217,0,0,0,1,1
501,10115,1,58,0,145,0,0,0,0,1
502,25529,2,30,2708,479,0,0,1,0,1
503,3389,2,26,192,477,0,0,0,0,1
504,2902,0,57,2439,32,0,0,0,0,1
505,39189,1,54,511,264,0,0,0,0,1
506,18884,1,50,133,155,0,0,0,0,1
507,21082,0,59,-134,217,0,0,0,0,1
508,21505,1,41,240,290,0,0,0,0,1
509,37764,1,35,1287,251,0,0,0,1,0
510,29845,1,32,2853,419,0,0,1,0,1
511,40113,1,57,9902,88,0,0,1,0,1
512,36957,2,35,88,272,0,0,0,0,1
513,17960,0,36,2178,74,0,0,0,0,1
514,31360,1,74,161,240,0,0,1,0,1
515,13523,1,45,335,89,0,0,0,0,1
516,41129,2,49,5689,470,1,0,1,0,1
517,32943,1,28,1086,1112,1,0,1,0,1
518,36338,1,43,238,178,0,0,0,0,1
519,13430,0,45,5758,16,0,0,1,0,1
520,41293,1,34,158,278,1,0,0,1,0
521,17983,1,59,3831,87,0,0,0,0,1
522,21139,2,32,1473,253,0,0,0,0,1
523,17750,1,54,3967,90,0,0,0,0,1
524,26485,1,59,1083,125,0,0,0,0,1
525,13718,2,39,4453,156,0,0,0,0,1
526,4942,0,49,2262,125,0,0,0,0,1
527,31172,1,61,5157,432,0,0,1,0,1
528,39831,1,36,352,94,0,0,0,1,0
529,40162,1,44,584,78,0,0,0,0,1
530,37554,1,32,-103,298,0,0,0,1,0
531,32381,0,42,5354,799,0,0,1,0,1
532,3148,0,57,3105,173,0,0,1,0,1
533,9037,2,38,13,21,0,0,0,0,1
534,27419,2,32,354,278,0,0,0,0,1
535,11492,0,46,2441,217,0,0,0,0,1
536,25662,0,57,18268,68,0,0,1,0,1
537,6408,2,24,84,570,0,0,0,0,1
538,27073,2,39,-529,18,0,0,0,0,1
539,16933,1,53,559,182,0,0,0,0,1
540,28546,2,29,1751,150,0,0,0,0,1
541,13560,1,48,425,693,0,0,0,0,1
542,12958,2,30,52,422,0,0,0,0,1
543,10212,1,41,2480,394,0,0,0,0,1
544,34933,1,30,-71,165,0,0,0,1,0
545,42978,2,40,334,219,1,0,0,0,1
546,27133,1,30,6432,206,0,0,1,0,1
547,26928,2,42,0,824,1,0,1,0,1
548,4585,1,38,205,359,0,0,0,1,1
549,44585,2,35,278,84,0,0,0,1,1
550,19277,1,32,560,1044,1,0,1,0,1
551,42887,1,46,2033,99,0,0,0,0,1
552,14078,1,57,8,93,0,0,0,0,1
553,7632,1,48,0,682,1,0,0,0,1
554,28445,1,38,99,191,0,0,0,1,0
555,26880,2,38,8669,228,0,0,1,0,1
556,33153,0,50,881,162,0,0,0,0,1
557,11109,1,29,-565,164,0,0,0,1,0
558,7394,1,31,3283,100,0,0,0,1,1
559,14658,1,48,3064,159,0,0,0,0,1
560,10510,1,40,256,95,0,0,0,1,1
561,22448,1,57,318,371,0,0,0,0,1
562,29156,0,40,1247,445,0,0,0,0,1
563,43909,2,27,4738,752,0,0,1,0,1
564,19671,1,40,162,256,0,0,0,1,1
565,38053,1,35,1265,326,1,0,0,1,1
566,8022,0,45,1309,144,0,0,0,0,1
567,12277,1,50,-253,43,0,0,0,0,1
568,27178,1,39,529,673,0,0,0,0,1
569,38631,2,33,2667,57,0,0,0,0,1
570,7965,2,31,17,52,0,0,0,1,1
571,39171,1,59,2239,431,1,0,1,0,1
572,42489,1,35,746,240,0,0,0,1,0
573,44817,2,28,11862,549,1,0,1,0,1
574,4036,2,31,532,90,0,0,0,1,1
575,3785,1,36,183,360,0,0,0,1,1
576,3996,1,53,2884,165,0,0,0,0,1
577,10097,1,38,634,105,0,0,0,1,0
578,11367,0,52,0,297,0,0,0,0,1
579,32710,1,30,495,384,0,0,0,1,0
580,43810,1,67,1948,844,0,0,1,0,1
581,19757,1,48,0,85,0,0,0,0,1
582,26046,0,30,3100,125,0,0,0,0,1
583,8217,1,34,1267,87,0,0,0,1,0
584,8928,1,49,266,39,0,0,0,0,1
585,10061,1,49,3478,484,0,0,1,0,1
586,26606,2,34,1995,129,0,0,0,0,1
587,27424,1,52,580,965,1,0,1,0,1
588,9487,0,37,319,467,1,0,0,0,1
589,5929,1,31,-502,523,0,0,0,1,1
590,11551,1,47,759,30,0,0,0,0,1
591,6681,1,31,298,154,0,0,0,1,0
