,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,FairDEN,Scalable,FairSC_normalized,FairSC
19148,0,17,225106,6,0,18,0,-1,0,1,0,1
20356,0,37,127918,10,0,20,0,-1,1,0,0,1
43135,0,51,237295,10,0,40,0,-1,1,0,0,1
32707,0,62,369734,9,0,40,0,-1,0,1,0,1
39221,1,44,366180,13,0,50,0,-1,0,1,1,0
42234,1,33,204374,14,0,38,0,-1,1,1,1,0
4303,1,30,65278,9,0,40,1,-1,1,0,0,1
20279,1,44,197462,9,0,40,0,-1,1,0,0,1
36257,1,59,258883,11,0,40,0,-1,1,0,1,0
32109,0,66,93318,9,0,40,0,-1,1,0,0,1
42698,0,24,175778,13,0,40,0,-1,1,1,0,1
35881,1,30,111567,10,0,40,1,-1,1,0,0,1
45485,1,34,245211,14,0,40,1,-1,1,1,1,0
25113,1,58,53481,13,0,70,0,-1,0,0,1,0
40840,1,36,101192,9,0,40,1,-1,1,0,0,1
25956,1,46,63299,9,0,50,0,-1,1,0,0,1
46629,1,67,116502,9,0,30,0,-1,0,0,0,1
44755,1,17,260978,7,0,14,0,-1,1,1,0,1
24573,1,35,140854,9,0,60,0,-1,1,0,1,1
15769,1,32,123291,8,0,40,0,-1,1,0,0,1
21240,1,54,175262,4,0,40,0,-1,0,0,0,1
4524,1,19,39026,9,0,30,0,-1,1,0,0,1
41193,0,27,89813,13,0,40,0,-1,1,0,0,1
35280,0,39,219137,12,0,40,0,-1,1,0,0,1
11335,0,43,281422,12,0,45,0,-1,1,1,0,1
21531,1,25,152503,10,0,40,0,-1,1,1,0,1
25109,1,34,195602,12,0,44,0,-1,1,1,1,0
31872,0,61,153408,14,0,40,1,-1,1,0,1,1
1175,1,58,169982,10,0,40,1,-1,1,0,0,1
19825,1,31,164190,6,0,40,0,-1,1,0,0,1
20188,1,50,65160,13,0,40,0,-1,1,0,1,0
2004,1,39,192337,13,0,50,0,-1,1,0,1,0
7133,1,41,174395,14,0,40,1,-1,1,0,1,0
45937,1,45,55272,11,0,40,0,-1,1,0,0,1
18049,1,36,484024,9,0,40,0,-1,0,1,0,1
3000,1,31,259931,4,0,40,0,-1,0,1,0,1
29683,1,25,141876,14,0,45,0,-1,1,0,1,0
16840,1,62,199193,9,0,25,0,-1,0,0,0,1
26232,1,35,218955,13,0,40,0,-1,1,1,1,0
1422,0,40,202872,12,0,45,0,-1,1,0,0,1
9194,0,55,170169,9,0,40,0,-1,1,0,0,1
26229,0,35,261012,10,0,40,0,-1,1,1,0,1
34271,0,53,94186,12,0,37,0,-1,1,0,0,1
14198,0,39,206253,13,0,40,0,-1,1,0,0,1
47220,1,27,262723,10,0,40,0,-1,1,1,0,1
48161,1,34,103642,9,0,40,0,-1,1,0,0,1
147,0,36,108293,9,0,24,0,-1,1,0,0,1
21528,0,55,194065,12,0,40,0,-1,1,0,0,1
40318,1,42,27085,10,0,40,0,-1,1,0,0,1
30170,0,20,26842,10,2176,40,0,-1,1,0,0,1
32941,1,64,192715,13,0,10,0,-1,0,0,1,0
20182,0,39,170382,14,0,50,1,-1,1,0,1,1
32206,0,18,41381,9,0,20,0,-1,1,0,0,1
40509,1,38,227615,7,0,40,0,-1,1,1,0,1
27434,1,35,253006,10,7688,38,1,-1,0,1,1,1
47104,1,34,450141,13,15024,35,1,-1,0,1,1,1
13685,0,44,277720,10,0,35,0,-1,1,1,0,1
26776,1,50,129956,9,0,48,1,-1,1,0,0,1
38529,1,34,201874,9,0,40,0,-1,1,1,0,1
4280,1,64,114994,9,0,20,0,-1,0,0,0,1
2741,1,47,189123,9,0,40,0,0,1,0,0,1
26036,0,38,277022,10,0,40,0,-1,1,1,0,1
36309,1,67,427422,10,2414,16,0,-1,0,1,0,1
11993,1,53,139671,13,0,40,1,-1,1,0,1,0
7229,0,36,285865,13,0,40,0,-1,1,1,0,1
30079,0,40,406811,9,0,40,0,-1,1,1,0,1
29081,0,19,164938,10,0,25,0,-1,1,1,0,1
5843,1,23,224954,10,0,25,0,-1,1,1,0,1
8489,1,24,189148,10,0,40,0,-1,1,1,0,1
7112,1,20,42706,10,0,25,0,-1,1,0,0,1
26852,1,58,314092,11,0,48,1,-1,0,1,0,0
44831,1,61,190955,13,7688,40,1,-1,0,0,1,0
14286,1,45,362883,9,5013,40,0,-1,0,1,0,1
10538,0,39,177728,14,0,40,0,-1,1,0,0,1
27861,0,48,70668,9,0,50,0,-1,1,0,0,1
29331,0,43,424094,16,0,40,0,-1,0,1,0,1
4348,1,33,184901,9,0,40,1,1,1,0,0,1
44067,1,42,297266,10,0,90,1,-1,0,1,1,0
46045,0,75,199826,10,0,36,1,-1,0,0,0,1
20989,1,25,236977,9,0,40,0,-1,1,1,0,1
37891,1,32,335569,9,0,40,0,-1,1,1,0,1
6915,1,46,110015,4,0,75,0,-1,0,0,0,1
27087,1,66,262552,10,0,7,0,-1,0,0,0,1
1570,0,19,62534,13,0,40,0,-1,1,0,0,1
36153,0,42,150568,10,0,45,0,-1,1,0,0,1
14453,1,36,147258,10,0,60,0,-1,1,0,1,1
20516,0,27,151626,9,0,40,0,-1,1,0,0,1
13400,1,18,184101,10,0,25,0,-1,1,1,0,1
40834,1,28,198201,9,0,40,0,-1,1,1,0,1
6478,1,29,464536,13,0,40,0,-1,0,1,0,1
37315,0,28,166634,9,0,40,0,-1,1,1,0,1
40980,0,52,121038,9,0,43,0,-1,1,0,0,1
20665,1,55,190514,4,0,75,0,-1,0,0,0,1
9189,1,38,227154,13,0,40,0,-1,1,1,1,0
1710,0,73,267408,9,0,15,0,-1,0,0,0,1
12959,1,38,32271,10,0,40,0,-1,1,0,0,1
23738,1,50,163948,14,0,40,1,-1,1,0,1,0
42269,0,31,328734,9,0,40,0,-1,1,1,0,1
30012,0,28,184078,8,0,40,0,-1,1,1,0,1
22637,0,22,223019,9,0,20,0,-1,1,1,0,1
43256,1,33,159123,10,0,40,1,-1,1,0,0,1
41432,0,37,26898,12,0,40,0,-1,1,0,0,1
10259,1,41,397280,13,0,72,0,-1,0,1,1,0
35605,1,26,316337,10,0,40,0,-1,1,1,0,1
27560,1,34,261023,10,0,38,0,-1,1,1,0,1
11463,0,36,229180,10,0,40,0,-1,1,1,0,1
12616,1,49,246891,13,0,40,1,-1,1,0,1,0
31641,1,18,157273,6,0,15,0,-1,1,1,0,1
25542,1,26,94477,10,7298,55,1,-1,0,0,1,1
46745,0,27,226441,13,0,40,0,-1,1,1,0,1
17871,1,28,381789,10,0,40,0,-1,1,1,0,1
12457,1,60,160339,10,0,40,0,-1,1,0,0,1
47933,1,18,149017,8,0,10,0,-1,0,1,0,1
39662,0,19,208066,10,0,40,0,-1,1,1,0,1
30275,1,46,295334,16,0,60,1,-1,0,1,1,0
6361,1,35,63509,11,0,50,0,-1,1,0,0,1
15686,1,24,232841,9,0,35,0,-1,1,1,0,1
20052,0,41,106982,10,0,40,1,-1,1,0,0,1
29679,1,30,177304,10,0,44,0,-1,1,1,0,1
25828,1,24,462820,13,0,40,0,-1,0,1,0,1
16584,1,52,196894,7,0,40,0,-1,1,0,0,1
4657,1,34,34374,10,0,50,0,-1,1,0,0,1
19785,0,19,208656,10,594,20,0,-1,1,1,0,1
34910,1,64,234570,10,0,40,0,-1,1,0,0,1
26704,1,40,126701,5,0,45,0,-1,0,0,0,1
20057,1,29,107812,10,0,15,0,-1,1,0,0,1
29465,1,58,31732,10,0,45,1,-1,1,0,0,1
2189,0,74,39890,10,0,18,0,-1,0,0,0,1
2791,0,55,92215,9,0,40,0,-1,1,0,0,1
19244,1,26,381618,5,0,45,0,-1,0,1,0,1
26845,1,47,173938,13,0,57,1,-1,1,0,1,0
33540,0,64,45868,4,0,35,0,-1,0,0,0,1
4162,0,29,446559,12,0,50,0,-1,0,1,0,1
18805,1,59,253062,15,0,55,1,-1,0,0,1,0
15878,1,35,115214,9,6497,65,0,-1,0,0,1,1
4,0,28,338409,13,0,40,0,-1,1,1,0,1
2385,1,56,211804,13,15024,50,1,-1,0,0,1,0
42363,1,35,91124,13,0,40,0,-1,1,0,1,0
18862,1,50,94391,11,0,50,1,-1,1,0,1,1
3494,1,21,182606,10,0,40,0,-1,1,1,0,1
5739,1,41,202168,10,0,60,1,-1,1,0,1,1
39398,1,47,189498,9,0,65,1,-1,0,0,1,1
3899,1,22,131230,10,0,40,0,-1,1,0,0,1
37154,1,27,183148,9,0,40,0,-1,1,1,0,1
45474,1,46,25894,16,0,40,1,-1,0,0,1,0
27362,1,27,269444,9,0,40,0,-1,1,1,0,1
13099,1,19,339123,10,0,40,0,-1,1,1,0,1
46184,0,61,149981,9,0,40,0,-1,1,0,0,1
23141,0,25,109419,9,0,40,0,-1,1,0,0,1
28382,1,17,228253,6,0,10,0,-1,0,1,0,1
39644,1,61,243019,1,0,40,0,-1,0,0,0,1
14764,0,39,165235,13,0,40,1,-1,1,0,0,1
18627,1,34,54850,13,0,50,0,-1,1,0,1,0
10241,1,38,179579,9,0,40,0,-1,1,0,0,1
6132,1,59,197290,5,0,40,0,-1,1,0,0,1
5604,0,47,176319,9,0,38,1,-1,1,0,0,1
46630,0,51,163606,10,0,40,0,-1,1,0,0,1
9354,0,39,358837,10,0,40,0,-1,1,1,0,1
8557,1,41,209547,9,0,40,0,-1,1,0,0,1
45556,0,19,188618,9,0,24,0,-1,1,1,0,1
4039,0,39,99065,13,0,40,1,-1,1,0,0,1
469,0,30,118551,13,0,16,1,-1,0,0,0,1
47610,0,26,33016,11,0,55,0,-1,0,0,0,1
21570,1,28,319768,14,0,45,1,-1,1,1,1,0
9061,1,56,139616,13,0,45,1,-1,1,0,1,0
26856,1,29,109001,10,0,35,0,-1,1,0,0,1
28594,1,18,135924,10,0,40,0,-1,1,1,0,1
30732,1,69,121136,9,0,13,0,-1,0,0,0,1
31635,1,27,180758,10,0,30,0,-1,1,1,0,1
15951,1,48,118889,9,2885,15,0,-1,0,0,0,1
23421,1,53,229465,14,0,55,1,-1,0,0,1,0
9060,1,67,247566,9,0,24,0,-1,0,0,0,1
7442,1,39,272950,13,0,45,1,-1,1,1,1,0
44217,0,23,122244,10,0,40,0,-1,1,0,0,1
13152,1,63,225102,9,0,40,0,-1,1,0,0,1
4248,0,43,243476,9,0,40,0,-1,1,1,0,1
11757,0,36,279615,13,0,40,0,-1,1,1,0,1
36548,0,58,95428,14,0,40,0,-1,1,0,1,1
4969,1,29,77760,9,0,45,0,-1,1,0,0,1
8358,1,43,163847,13,0,50,1,-1,1,0,1,0
12483,1,46,30219,10,7688,38,1,-1,0,0,1,1
4107,0,25,186294,9,0,50,0,-1,1,1,0,1
21194,0,25,232914,13,0,38,0,-1,1,1,0,1
39527,1,58,106740,9,0,40,1,-1,1,0,0,1
40477,0,38,202937,12,0,40,1,-1,1,0,0,1
40192,1,52,165998,15,7298,50,1,-1,0,0,1,0
28062,1,44,116358,13,0,40,1,-1,1,0,1,0
40278,1,60,40856,9,0,40,0,-1,1,0,0,1
19538,0,36,76767,10,0,39,0,-1,1,0,0,1
23943,0,40,55191,10,0,40,0,-1,1,0,0,1
37527,1,67,162009,6,0,16,0,-1,0,0,0,1
13659,1,34,73199,7,0,40,0,-1,1,0,0,1
30097,1,37,185567,9,0,40,1,-1,1,0,0,1
39938,1,30,90308,1,0,28,0,-1,0,0,0,1
48101,1,34,356882,9,0,40,0,-1,1,1,0,1
38836,0,55,421228,14,0,40,1,-1,0,1,0,1
45596,0,60,193864,9,0,40,0,-1,1,0,0,1
7439,0,31,185528,10,0,35,0,-1,1,1,0,1
14304,0,25,159603,9,0,34,0,-1,1,1,0,1
16742,1,23,182615,10,0,40,0,-1,1,1,0,1
43084,1,33,51185,10,0,40,0,-1,1,0,0,1
37293,1,23,50411,9,0,40,0,-1,1,0,0,1
9769,1,32,157887,9,0,40,0,-1,1,0,0,1
43242,0,32,113453,13,0,24,1,-1,0,0,0,1
44869,0,48,127675,14,0,44,0,-1,1,0,1,1
37215,1,24,155172,12,0,40,0,-1,1,1,1,0
32472,0,27,221561,7,0,32,0,-1,0,1,0,1
36714,1,46,149337,10,0,55,0,-1,1,0,0,1
21908,0,32,235862,10,0,45,0,-1,1,1,0,1
37993,1,33,30612,10,0,40,0,-1,1,0,0,1
26222,1,46,325372,10,0,40,0,-1,1,1,0,1
10565,1,20,140001,10,0,40,0,-1,1,1,0,1
6804,0,47,321851,13,0,50,1,-1,0,1,0,1
32102,0,32,172415,9,0,40,0,-1,1,0,0,1
21680,1,40,307767,9,0,60,0,-1,0,1,0,1
4816,0,56,191917,12,4101,40,0,-1,0,0,1,1
27417,1,31,369648,12,0,50,1,-1,0,1,0,0
20267,1,36,113337,10,0,42,1,-1,1,0,0,1
27537,0,45,32896,3,0,35,0,-1,0,0,0,1
3539,1,36,165799,14,0,50,1,-1,1,0,1,0
44577,1,63,176827,10,0,30,1,-1,0,0,0,1
41684,1,36,166115,10,0,56,0,-1,1,0,1,1
24444,1,17,321880,6,0,15,0,-1,0,1,0,1
37651,1,27,211208,7,0,40,0,-1,1,1,0,1
28536,1,36,262688,10,7688,50,1,-1,0,1,1,1
26637,1,17,101626,5,0,20,0,-1,0,0,0,1
44687,1,34,141841,9,0,40,0,-1,1,0,0,1
37363,1,30,289442,13,0,40,0,-1,1,1,1,0
9314,0,40,84232,9,0,4,0,-1,0,0,0,1
2528,1,47,102359,13,0,30,0,-1,0,0,1,0
37263,1,27,41115,10,0,40,0,-1,1,0,0,1
24163,1,66,212185,4,0,48,0,-1,0,0,0,1
28619,1,36,328466,3,0,50,1,-1,0,1,0,1
6916,1,24,104146,13,0,40,0,-1,1,0,1,0
44328,1,58,174848,8,0,40,0,-1,1,0,0,1
45789,1,32,199366,6,0,16,0,-1,0,1,0,1
6759,1,20,233624,9,0,40,0,-1,1,1,0,1
17777,1,36,202950,13,0,50,0,-1,1,0,1,0
15506,1,53,148532,13,0,60,1,-1,0,0,1,0
34927,1,42,347653,13,0,60,0,-1,1,1,1,0
6748,1,41,48087,4,0,40,0,-1,0,0,0,1
1232,0,27,175034,13,0,40,0,-1,1,1,0,1
38334,0,18,156981,7,0,20,0,-1,1,1,0,1
3705,1,41,113555,10,7298,50,1,-1,0,0,1,1
30397,0,41,202872,6,0,40,0,-1,1,0,0,1
26831,1,30,95299,9,0,40,1,-1,1,0,0,1
43080,0,39,212840,13,0,40,0,-1,1,0,0,1
15610,0,30,164309,9,0,35,0,-1,1,0,0,1
25466,1,58,248841,9,15024,40,1,-1,0,0,1,0
21634,1,66,350498,10,0,28,0,-1,0,0,0,1
18679,0,52,561489,14,0,50,0,-1,0,1,0,1
46188,1,31,203408,10,0,45,0,-1,1,1,0,1
2372,1,74,340939,5,3471,40,0,-1,0,0,0,1
9055,1,23,433669,12,0,40,0,-1,0,1,0,1
9267,1,19,233779,10,0,60,0,-1,0,1,0,1
44838,1,32,303942,3,0,48,0,-1,0,1,0,1
7918,0,20,245297,10,0,20,0,-1,1,1,0,1
41345,1,40,255824,14,0,40,1,-1,1,1,1,0
28116,1,40,272960,12,0,42,1,-1,1,1,1,0
38478,1,37,255503,15,0,55,1,-1,0,1,1,0
7330,1,46,160061,10,0,40,0,-1,1,0,0,1
6204,1,84,155057,13,0,20,0,-1,0,0,1,0
18184,0,23,195532,13,0,40,0,-1,1,1,0,1
48275,1,66,190160,15,0,20,0,-1,0,0,1,0
15917,1,41,200671,13,6497,40,0,-1,0,0,1,0
11048,1,48,237525,13,7688,65,1,-1,0,0,1,0
13019,0,42,184837,9,7298,40,1,-1,0,0,0,1
7449,0,68,170182,10,0,40,0,-1,1,0,0,1
36209,1,40,190507,9,0,60,1,-1,1,0,1,1
15181,0,28,96219,13,0,15,0,-1,0,0,0,1
36733,0,19,116385,12,0,18,0,-1,0,0,0,1
25472,1,22,119592,12,0,40,1,-1,1,0,0,0
34981,1,31,190650,14,0,40,0,-1,1,1,1,0
26072,0,39,80680,10,0,40,0,-1,1,0,0,1
34792,1,52,249196,12,0,55,1,-1,0,0,1,0
45094,1,53,206288,13,0,35,0,-1,1,0,1,0
14335,1,40,76487,9,0,40,0,-1,1,0,0,1
15056,1,53,167065,7,0,40,0,-1,1,0,0,1
2729,1,21,286853,9,0,35,0,-1,1,1,0,1
28837,0,22,171176,9,0,48,0,-1,1,1,0,1
5711,0,37,170408,11,0,30,0,-1,1,0,0,1
38109,0,35,189382,10,0,38,0,-1,1,0,0,1
985,0,63,254907,11,0,20,0,-1,0,0,0,1
3049,1,39,122742,12,15024,55,1,-1,0,0,1,0
11433,1,49,278322,9,0,40,1,-1,1,1,0,1
13041,1,40,201764,9,0,40,0,-1,1,0,0,1
19663,1,32,377836,11,0,40,0,-1,1,1,0,1
30184,1,39,48915,9,0,40,1,-1,1,0,0,1
9536,1,32,324386,13,0,40,0,-1,1,1,0,0
28058,0,20,121023,10,0,40,0,-1,1,0,0,1
30089,1,20,82777,9,0,40,0,-1,1,0,0,1
19706,1,58,111625,13,8614,40,1,-1,0,0,1,0
37872,0,25,390537,10,0,25,0,-1,1,1,0,1
18397,1,34,236861,9,0,45,0,-1,1,1,0,1
5676,0,41,163322,13,0,30,0,-1,0,0,0,1
39728,1,53,385183,10,0,60,0,-1,0,1,1,0
24608,1,39,172538,9,0,40,0,-1,1,0,0,1
6113,0,56,87584,9,0,40,0,-1,1,0,0,1
47697,0,23,223019,10,0,35,0,-1,1,1,0,1
38486,1,20,117210,10,0,40,0,-1,1,0,0,1
19570,1,18,123714,7,0,40,0,-1,1,1,0,1
35655,0,29,27436,9,0,35,0,-1,1,0,0,1
31636,0,29,499935,11,0,40,0,-1,0,1,0,1
48059,1,22,191954,11,0,45,0,-1,1,1,0,1
14894,0,31,143392,10,0,35,0,-1,1,0,0,1
3308,1,39,352248,12,0,40,0,-1,1,1,0,0
31051,1,43,306440,15,0,66,0,-1,0,1,1,0
22681,1,36,210945,10,0,70,0,-1,0,1,1,0
43269,1,36,379522,9,15024,40,1,-1,0,1,1,1
46053,1,45,272182,10,5013,40,0,-1,0,1,1,1
28319,0,54,185042,2,0,40,0,-1,0,0,0,1
6810,1,32,319280,12,0,80,0,-1,0,1,1,0
23730,0,28,33374,7,0,35,0,-1,0,0,0,1
5553,1,27,292472,10,0,40,1,-1,1,1,0,1
2875,1,29,227890,9,0,40,0,-1,1,1,0,1
45193,0,32,278940,9,0,40,0,-1,1,1,0,1
8904,1,45,201699,11,0,40,1,-1,1,0,0,1
24452,1,28,113870,9,0,40,0,-1,1,0,0,1
15679,1,44,306440,9,0,40,0,-1,1,1,0,1
34500,0,33,43608,10,0,40,0,-1,1,0,0,1
34086,0,60,338833,9,0,38,0,-1,0,1,0,1
15273,0,25,201635,13,0,50,0,-1,1,1,0,1
4057,1,40,510072,13,0,55,1,-1,0,1,0,0
31576,1,30,341051,14,15024,60,1,-1,0,1,1,0
25295,0,30,176871,10,0,40,0,-1,1,1,0,1
16290,0,29,131310,12,0,40,0,-1,1,0,0,1
8570,1,20,164574,9,0,30,0,-1,1,1,0,1
46299,0,42,236503,10,0,40,0,-1,1,1,0,1
19815,1,23,283499,9,0,40,0,-1,1,1,0,1
9401,1,39,33975,9,0,50,0,-1,1,0,0,1
38604,0,19,292136,10,0,30,0,-1,1,1,0,1
23837,1,39,269455,9,0,45,0,-1,1,1,0,1
465,0,37,126708,9,0,60,0,-1,1,0,0,1
43028,1,40,205680,14,0,50,0,-1,1,0,1,0
45285,1,21,321369,6,0,40,0,-1,0,1,0,1
9693,1,36,153976,9,0,50,0,-1,1,0,0,1
42496,1,33,513977,10,0,40,0,-1,0,1,0,1
47631,0,20,336101,10,0,30,0,-1,1,1,0,1
10151,0,17,297246,7,0,9,0,-1,0,1,0,1
45819,1,30,94145,9,0,40,0,-1,1,0,0,1
24388,0,46,551962,9,0,50,0,-1,0,1,0,1
19453,1,45,160724,9,0,40,0,-1,1,0,0,1
9731,1,29,86613,2,0,20,0,-1,0,0,0,1
40368,1,56,140729,9,0,45,0,-1,1,0,0,1
39078,0,18,308739,9,0,20,0,-1,1,1,0,1
25210,0,36,185394,6,0,34,0,-1,1,0,0,1
3272,1,33,231043,9,0,50,1,-1,1,1,0,1
47459,1,37,171524,3,0,40,0,-1,0,0,0,1
43305,1,55,314164,15,0,40,1,-1,0,1,1,0
34330,0,33,156383,13,0,40,0,-1,1,0,0,1
39043,1,33,214288,9,0,48,1,-1,1,1,0,1
33244,1,53,99516,13,0,40,0,-1,1,0,1,0
20506,0,23,189924,10,0,40,0,-1,1,1,0,1
32673,1,32,224462,9,0,84,1,-1,0,1,1,0
25002,1,35,78247,11,0,50,0,-1,1,0,0,1
36986,1,20,217467,9,0,40,0,-1,1,1,0,1
3396,1,47,55377,9,0,40,0,-1,1,0,0,1
12496,1,60,191446,9,99999,40,1,-1,0,0,1,0
5733,0,42,196001,9,0,40,0,-1,1,0,0,1
41286,0,40,197609,10,0,40,0,-1,1,0,0,1
21345,1,53,155983,14,0,65,1,-1,0,0,1,0
24479,1,17,202521,6,0,15,0,-1,1,1,0,1
8279,0,24,41356,10,0,40,0,-1,1,0,0,1
29153,0,43,143046,9,0,40,0,-1,1,0,0,1
12287,0,38,103925,9,2036,20,0,-1,0,0,0,1
35633,1,20,174436,9,0,60,0,-1,0,1,0,1
14314,1,23,175266,10,0,40,0,-1,1,1,0,1
6985,1,18,125441,7,1055,20,0,-1,1,1,0,1
45258,0,31,328734,14,0,30,0,-1,0,1,0,1
45114,0,57,207604,4,0,40,0,-1,0,0,0,1
43624,0,74,159138,9,0,12,0,-1,0,0,0,1
23826,1,29,137063,9,0,38,0,-1,1,0,0,1
46394,1,44,259674,14,5178,60,1,-1,0,1,1,0
476,1,17,211870,5,0,6,0,-1,0,1,0,1
6648,1,46,276087,9,5013,50,0,-1,0,1,1,1
16429,1,58,35551,13,0,70,1,-1,0,0,1,0
9195,1,47,344157,7,0,40,0,-1,0,1,0,1
1590,1,65,207281,10,0,16,0,-1,0,0,0,1
33524,0,38,166062,9,0,50,0,-1,1,0,0,1
43743,0,41,172712,13,0,40,1,-1,1,0,0,1
6975,0,63,346975,13,7688,36,1,-1,0,1,1,1
43537,0,42,178897,14,1151,40,0,-1,1,0,0,1
22585,1,29,90934,13,0,64,1,-1,0,0,1,0
30760,1,40,320451,16,0,45,1,-1,0,1,1,0
30838,1,50,34067,11,0,50,1,-1,0,0,0,1
12788,0,36,240323,10,0,40,0,-1,1,1,0,1
22954,1,38,184456,9,3464,80,0,-1,0,0,1,0
26491,0,24,34918,11,0,38,0,-1,1,0,0,1
12627,1,77,253642,4,0,30,0,-1,0,0,0,1
30491,0,47,142061,10,0,40,0,-1,1,0,0,1
39286,1,33,44623,9,0,45,0,-1,1,0,0,1
12088,0,26,179772,13,0,45,0,-1,1,1,0,1
34985,1,27,209301,9,0,60,0,-1,1,1,0,1
17271,0,65,209831,11,0,40,0,-1,1,0,0,1
45701,0,58,101480,11,0,40,0,-1,1,0,0,1
11933,1,46,28334,9,0,40,0,-1,1,0,0,1
9284,1,43,352005,13,15024,45,1,-1,0,1,1,0
38804,1,61,213700,13,0,32,1,-1,1,0,1,0
13660,1,50,114056,11,0,84,0,-1,0,0,1,0
4351,1,53,199720,16,15024,60,1,-1,0,0,1,0
26300,1,54,145098,10,0,40,1,-1,1,0,0,1
45207,1,47,38819,13,0,45,1,-1,1,0,1,0
39614,0,28,132750,9,0,20,0,-1,1,0,0,1
2874,0,38,115433,12,7688,33,1,-1,0,0,1,1
17912,0,31,194293,10,2463,38,0,-1,1,1,0,1
1811,1,35,183898,11,7298,50,1,-1,0,0,1,1
17841,1,48,247043,9,0,40,0,-1,1,0,0,1
18955,1,31,226443,13,0,40,0,-1,1,1,1,0
46964,1,38,39089,9,6849,50,0,-1,0,0,1,1
24985,0,40,46990,16,0,20,1,-1,0,0,0,1
40950,1,47,100009,10,0,30,0,-1,0,0,0,1
38366,0,17,53367,8,0,25,0,-1,0,0,0,1
30053,1,30,110643,10,0,52,0,-1,1,0,0,1
16922,0,21,277530,9,0,40,0,-1,1,1,0,1
17730,1,21,32639,10,0,20,0,-1,1,0,0,1
43547,0,22,339644,9,0,40,0,-1,1,1,0,1
33343,1,40,98466,9,0,40,1,-1,1,0,0,1
6526,1,34,157289,9,0,40,0,-1,1,0,0,1
23628,0,40,270147,14,0,40,1,-1,1,1,0,1
21848,1,34,62374,9,0,48,0,-1,1,0,0,1
47758,0,39,139770,14,0,30,1,-1,0,0,0,1
3953,0,42,44121,14,0,40,0,-1,1,0,0,1
7786,1,26,261278,10,0,30,0,-1,1,1,0,1
18659,0,46,195023,10,0,40,0,-1,1,0,0,1
11886,1,55,258648,6,0,40,0,-1,0,0,0,1
34476,0,35,70282,9,0,40,0,-1,1,0,0,1
11090,0,41,185616,9,0,40,0,-1,1,0,0,1
10822,0,34,154548,10,0,38,0,-1,1,0,0,1
