,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_27_wo_cat,FairDEN_v2_min_pts_27_wo_cat
417,1,0,0,0
418,1,0,4,2
419,1,0,0,0
420,0,0,1,1
421,1,0,4,2
422,1,0,0,0
423,0,0,0,0
424,0,0,0,0
425,1,0,4,2
426,1,0,4,2
427,1,0,0,0
428,0,0,4,2
429,1,0,0,0
430,1,0,4,2
431,1,0,1,1
432,0,0,4,2
433,1,0,0,0
434,1,0,1,1
435,1,0,0,0
436,0,0,4,2
437,1,0,1,1
438,1,0,1,1
439,1,0,0,0
440,1,0,1,1
441,0,0,1,1
442,1,0,1,1
443,1,0,1,1
444,1,0,4,2
445,1,0,1,1
446,1,0,1,1
447,0,0,0,0
448,0,-1,2,4
449,1,-1,2,4
450,1,0,4,2
451,1,-1,4,2
452,1,0,1,1
453,1,0,1,1
454,1,0,1,1
455,1,0,1,1
456,0,0,1,1
457,1,0,1,1
458,1,0,1,1
459,1,-1,2,4
460,1,-1,2,4
461,1,0,0,0
462,0,0,4,2
463,0,0,1,1
464,1,0,1,1
465,1,-1,2,4
466,1,0,1,0
467,0,-1,4,2
468,1,-1,2,4
469,1,0,0,0
470,1,0,0,0
471,1,0,1,1
472,1,0,0,0
473,1,0,0,0
474,1,0,1,1
475,1,0,0,0
476,1,0,0,0
477,1,-1,2,4
478,0,0,4,2
479,1,0,1,1
480,1,0,1,1
481,1,0,0,0
482,1,0,1,1
483,1,0,1,1
484,1,0,1,1
485,0,0,0,0
486,1,0,1,1
487,1,0,0,0
488,1,0,0,0
489,1,-1,4,2
490,1,0,1,1
491,0,0,0,0
492,1,0,0,0
493,1,0,1,1
494,1,0,0,0
495,1,0,0,0
496,1,0,0,0
497,1,0,0,0
498,1,0,1,1
499,0,0,1,1
500,1,0,0,0
501,1,-1,3,3
502,1,0,1,1
503,1,0,0,0
504,1,0,1,1
505,1,0,0,0
506,0,0,0,0
507,1,-1,2,4
508,0,0,0,0
509,1,0,0,0
510,1,-1,2,4
511,1,0,0,0
512,1,0,0,0
513,1,0,0,0
514,1,0,1,1
515,1,0,0,0
516,1,-1,4,2
517,0,-1,3,3
518,0,0,1,1
519,1,0,1,1
520,1,-1,2,4
521,1,0,0,0
522,0,0,4,2
523,1,0,0,0
524,1,0,4,2
525,1,0,1,1
526,1,0,1,1
527,0,0,0,0
528,0,0,1,1
529,1,0,0,0
530,1,0,0,0
531,1,-1,4,2
532,1,0,1,1
533,1,0,0,0
534,1,0,1,1
535,1,0,0,0
536,1,0,0,0
537,0,0,0,0
538,1,0,4,2
539,1,0,1,1
540,1,0,1,1
541,0,0,0,0
542,1,0,0,0
543,1,0,1,1
544,1,0,1,1
545,0,0,0,0
546,0,0,4,2
547,0,0,1,1
548,1,0,1,1
549,1,0,0,0
550,1,-1,2,4
551,1,0,0,0
552,1,0,1,1
553,1,0,0,0
554,1,0,1,1
555,1,0,1,1
556,1,0,0,0
557,1,0,0,0
558,1,-1,2,4
559,1,0,1,1
560,1,0,1,1
561,0,0,1,1
562,1,0,1,1
563,1,0,0,0
564,1,0,0,0
565,1,0,4,2
566,1,0,0,0
567,1,0,1,1
568,0,0,1,1
569,1,0,1,1
570,0,0,4,2
571,1,-1,4,2
572,1,0,1,1
573,1,0,0,0
574,1,0,1,1
575,0,0,0,0
576,1,0,4,1
577,1,-1,4,2
578,1,0,1,1
579,1,0,1,1
580,1,0,0,0
581,0,0,0,0
582,0,0,4,2
583,1,0,4,2
584,1,-1,2,4
585,1,0,4,2
586,1,0,1,1
587,1,0,1,1
588,1,0,1,1
589,1,0,1,1
590,1,0,1,1
591,1,0,4,2
592,1,0,0,0
593,1,0,0,0
594,0,-1,4,2
595,1,0,1,1
596,0,0,0,0
597,1,0,1,1
598,1,0,1,1
599,1,0,0,0
600,1,0,0,0
601,1,0,0,0
602,1,0,1,1
603,1,0,1,1
604,1,0,0,0
605,1,-1,4,2
606,0,0,0,0
607,1,0,0,0
608,1,0,0,0
609,1,0,1,1
610,1,0,1,1
611,1,0,0,0
612,1,0,4,2
613,1,0,0,0
614,1,0,1,1
615,1,0,1,1
616,1,0,0,0
617,1,0,0,0
618,1,0,0,0
619,1,0,0,0
620,1,0,0,0
621,1,0,0,0
622,1,0,0,0
623,1,0,0,0
624,1,0,1,1
625,1,0,0,0
626,1,0,0,0
627,1,0,0,0
628,1,0,0,0
629,1,0,1,1
630,1,0,0,0
631,1,0,0,0
632,1,0,0,0
633,1,-1,2,4
634,1,0,1,1
635,1,0,1,1
636,1,0,1,1
637,1,0,1,1
638,1,-1,2,4
639,1,0,0,0
640,1,-1,4,2
641,0,0,1,1
642,1,0,0,0
643,0,0,4,2
644,1,0,0,0
645,1,0,0,0
646,1,0,1,1
647,1,0,0,0
648,0,0,4,2
649,1,0,0,0
650,0,0,1,1
651,1,0,1,1
652,0,0,1,1
653,1,0,1,1
654,1,0,0,0
655,1,0,1,1
656,0,0,1,1
657,1,0,4,2
658,1,0,0,0
659,1,0,0,0
660,1,0,1,1
661,1,0,0,0
662,1,0,0,0
663,1,0,1,1
664,0,0,0,0
665,1,-1,4,2
666,0,0,0,0
667,0,0,0,0
668,0,0,0,0
669,1,0,1,1
670,0,0,1,1
671,0,0,1,1
672,1,-1,2,4
673,1,0,1,1
674,1,0,1,1
675,1,0,1,1
676,1,0,0,0
677,1,0,0,0
678,1,0,4,2
679,1,0,4,2
680,1,-1,2,4
681,0,0,0,0
682,1,0,1,1
683,1,0,1,1
684,1,0,0,0
685,1,-1,2,4
686,1,0,0,0
687,0,0,1,1
688,1,0,1,1
689,1,0,1,1
690,1,0,0,0
691,1,0,1,1
692,1,0,0,0
693,1,-1,2,4
694,1,0,1,1
695,1,0,1,1
696,1,0,1,1
697,0,0,0,0
698,0,0,1,1
699,1,0,0,0
700,0,0,0,0
701,1,0,0,0
702,1,0,0,0
703,1,0,0,0
704,1,0,0,0
705,1,0,0,0
706,1,0,1,1
707,1,0,1,1
708,1,0,0,0
709,1,0,0,0
710,1,0,0,0
711,1,0,1,1
712,0,0,1,1
713,1,0,0,0
714,1,0,4,2
715,1,0,0,0
716,0,0,0,0
717,1,0,0,0
718,1,0,1,1
719,1,0,0,0
720,0,0,0,0
721,1,0,1,1
722,1,0,0,0
723,1,-1,2,4
724,0,0,0,0
725,1,0,0,0
726,1,0,1,1
727,1,0,0,0
728,1,0,0,0
729,1,0,1,1
730,1,0,1,1
731,1,0,1,1
732,1,-1,2,4
733,1,0,0,0
734,0,0,0,0
735,1,0,1,1
736,1,0,0,0
737,1,0,1,1
738,1,0,1,1
739,1,0,4,2
740,1,0,1,1
741,1,0,0,0
742,0,0,4,2
743,0,0,0,0
744,0,0,0,0
745,1,0,0,0
746,1,-1,2,4
747,0,0,1,1
748,1,0,4,2
749,1,0,0,0
750,1,-1,4,2
751,1,0,4,2
752,0,0,1,1
753,1,-1,4,2
754,1,0,0,0
755,0,0,0,0
756,1,0,0,0
757,1,-1,2,4
758,1,0,0,0
759,1,0,4,2
760,1,0,1,1
761,1,0,1,1
762,1,0,1,1
763,1,0,0,0
764,1,0,0,0
765,1,0,4,2
766,1,0,0,0
767,1,0,0,0
768,1,0,1,1
769,1,0,4,2
770,1,0,4,2
771,1,0,1,1
772,1,0,0,0
773,0,0,1,1
774,1,0,4,2
775,1,0,1,1
776,1,0,0,0
777,0,0,0,0
778,0,0,0,0
779,0,0,1,1
780,1,0,4,2
781,1,0,0,0
782,1,0,4,2
783,1,0,0,0
784,1,0,1,1
785,1,0,0,0
786,1,0,0,0
787,1,0,1,1
788,1,0,0,0
789,1,0,0,0
790,1,0,1,1
791,1,0,0,0
792,1,0,1,1
793,1,0,1,1
794,1,0,1,1
795,1,0,1,1
796,0,0,0,0
797,1,0,1,1
798,1,0,0,0
799,1,0,1,1
800,1,-1,4,2
801,1,0,1,1
802,0,0,0,0
803,1,0,1,1
804,1,0,4,2
805,1,0,1,1
806,1,-1,2,4
807,1,0,0,0
808,1,0,1,1
809,0,0,1,1
810,1,0,4,2
811,0,0,0,0
812,1,0,1,1
813,1,0,1,1
814,1,0,1,1
815,1,0,0,0
816,0,0,0,0
817,1,0,4,2
818,1,0,0,0
819,0,0,0,0
820,1,0,0,0
821,1,0,0,0
822,1,0,0,0
823,1,-1,3,3
824,1,0,4,2
825,1,0,0,0
826,1,0,0,0
827,0,-1,2,4
828,1,0,1,1
829,1,0,0,0
830,0,0,1,1
831,1,0,0,0
832,1,0,1,1
833,1,-1,4,2
834,0,0,1,1
835,1,0,1,1
836,1,0,1,1
837,1,0,1,1
838,0,0,0,0
839,1,-1,2,4
840,1,0,1,1
841,1,0,4,2
842,0,0,0,0
843,0,0,1,1
844,1,0,1,1
845,1,0,4,2
846,1,0,0,0
847,1,0,1,1
848,1,0,1,1
849,1,0,0,0
850,1,0,1,1
851,0,0,0,0
852,0,0,1,1
853,1,0,1,1
854,1,0,0,0
855,1,0,0,0
856,1,-1,4,2
857,0,0,0,0
858,1,0,0,0
859,1,0,1,1
860,1,0,0,0
861,1,0,4,2
862,1,0,4,2
863,1,0,1,1
864,1,0,4,2
865,1,0,0,0
866,1,0,0,0
867,1,0,1,1
868,1,0,1,1
869,1,0,0,0
870,1,0,0,0
871,1,0,1,1
872,1,0,1,1
873,1,0,1,1
874,1,0,0,0
875,1,0,1,1
876,0,0,0,0
877,1,0,4,2
878,1,0,1,1
879,0,0,1,1
880,1,0,0,0
881,1,0,4,2
882,1,0,1,1
883,1,0,0,0
884,1,0,4,2
885,1,0,0,0
886,1,0,1,1
887,1,0,1,1
888,1,0,4,2
889,0,0,0,0
890,1,0,0,0
891,0,0,1,1
892,0,0,1,1
893,0,0,0,0
894,1,0,1,1
895,1,0,0,0
896,1,0,0,0
897,1,0,4,2
898,1,0,4,2
899,1,0,1,1
900,1,0,4,2
901,0,0,0,0
902,1,0,0,0
903,1,0,0,0
904,1,-1,2,4
905,1,0,1,1
906,1,-1,2,4
907,1,0,1,1
908,1,0,1,1
909,1,0,0,0
910,1,0,0,0
911,1,0,1,1
912,0,0,0,0
913,1,-1,2,4
914,1,0,1,1
915,1,0,0,0
916,1,0,0,0
917,1,0,1,1
918,1,0,1,1
919,1,0,0,0
920,0,0,0,0
921,1,0,0,0
922,1,0,0,0
923,1,0,4,2
924,1,0,0,0
925,1,0,1,1
926,0,-1,2,4
927,0,0,0,0
928,0,0,0,0
929,1,0,0,0
930,1,0,0,0
931,1,0,1,1
932,1,-1,4,2
933,0,0,1,1
934,1,0,1,1
935,1,0,0,0
936,1,0,0,0
937,1,0,1,1
938,0,0,0,0
939,1,0,0,0
940,1,0,0,0
941,1,0,1,1
942,1,0,1,1
943,1,-1,2,4
944,1,0,4,2
945,0,0,0,0
946,1,0,0,0
947,1,-1,2,4
948,1,0,0,0
949,1,-1,2,4
950,1,-1,4,2
951,1,-1,4,2
952,0,0,0,0
953,1,0,4,2
954,0,0,1,2
955,0,0,0,0
956,1,0,0,0
957,1,0,1,1
958,1,0,0,0
959,1,0,1,1
960,1,-1,4,2
961,1,0,0,0
962,1,0,0,0
963,1,0,1,1
964,1,0,4,2
965,0,-1,4,2
966,1,0,1,1
967,0,0,1,1
968,1,0,1,1
969,0,0,1,1
970,1,0,1,1
971,0,0,0,0
972,1,0,4,2
973,0,0,0,0
974,1,0,4,2
975,1,0,0,0
976,1,0,0,0
977,0,-1,2,4
978,1,0,1,0
979,1,0,0,0
980,0,0,1,1
981,1,-1,2,4
982,1,0,1,1
983,1,-1,3,3
984,1,0,1,1
985,1,-1,4,2
986,0,0,0,0
987,1,0,0,0
988,0,-1,2,4
989,0,0,0,0
990,1,0,4,2
991,1,0,1,1
992,0,0,0,0
993,0,0,1,1
994,1,0,1,1
995,1,-1,2,4
996,1,-1,2,4
997,1,0,0,0
998,0,0,0,0
999,0,0,1,1
1000,1,0,0,0
1001,1,0,0,0
1002,1,0,1,1
1003,1,0,1,1
1004,1,0,1,1
1005,1,0,1,1
1006,1,0,1,1
1007,1,0,4,2
1008,1,0,1,1
1009,1,-1,4,2
1010,1,0,1,1
1011,0,0,1,1
1012,0,0,1,1
1013,1,0,0,0
1014,1,0,0,0
1015,1,0,1,1
1016,1,-1,2,4
1017,1,0,1,1
1018,1,0,1,1
1019,1,0,1,1
1020,1,0,1,1
1021,1,0,1,1
1022,1,-1,2,4
1023,1,-1,4,2
1024,0,0,1,1
1025,1,-1,2,4
1026,1,0,0,0
1027,0,0,0,0
1028,1,0,1,1
1029,1,0,0,0
1030,0,0,0,0
1031,1,0,4,2
1032,0,0,1,1
1033,1,0,0,0
1034,1,0,1,1
1035,1,0,0,0
1036,0,0,0,0
1037,1,0,0,0
1038,1,0,1,1
1039,0,0,0,0
1040,1,0,0,0
1041,0,0,1,1
1042,0,0,1,1
1043,1,0,0,0
1044,1,0,1,1
1045,1,0,0,0
1046,1,-1,2,4
1047,1,0,4,2
1048,1,0,1,1
1049,1,0,0,0
1050,1,0,0,0
1051,1,0,1,1
1052,1,0,0,0
1053,1,0,4,2
1054,0,0,1,1
1055,0,0,0,0
1056,1,0,0,0
1057,0,-1,4,2
1058,1,-1,2,4
1059,0,0,0,0
1060,1,-1,2,4
1061,1,0,1,1
1062,0,0,0,0
1063,1,0,4,2
1064,1,0,1,1
1065,1,0,1,1
1066,0,-1,4,2
1067,1,-1,2,4
1068,1,0,1,1
1069,1,-1,2,4
1070,1,0,4,2
1071,1,-1,2,4
1072,1,0,0,0
1073,1,0,1,1
1074,1,0,1,1
1075,1,0,0,0
1076,1,0,0,0
1077,0,0,0,0
1078,1,0,1,1
1079,1,0,1,1
1080,0,-1,4,2
1081,1,0,0,0
1082,1,0,0,0
1083,1,0,1,1
1084,1,0,0,0
1085,1,0,1,1
1086,1,0,1,1
1087,0,0,0,0
1088,1,0,0,0
1089,1,-1,2,4
1090,1,0,1,1
1091,1,0,1,1
1092,1,0,0,0
1093,1,0,1,1
1094,0,0,1,1
1095,0,0,0,0
1096,1,0,1,1
1097,1,0,1,1
1098,0,0,0,0
1099,1,-1,4,2
1100,1,0,0,0
1101,1,0,0,0
1102,0,0,1,1
1103,1,0,0,0
1104,1,0,1,0
1105,1,0,0,0
1106,1,0,0,0
1107,1,-1,4,2
1108,1,0,1,1
1109,1,0,1,1
1110,0,0,1,1
1111,1,0,0,0
1112,0,0,0,0
1113,1,0,1,1
1114,0,0,1,1
1115,0,0,0,0
1116,1,0,4,2
1117,1,0,1,1
1118,1,0,1,1
1119,1,0,0,0
1120,1,-1,2,4
1121,1,0,1,1
1122,1,0,0,0
1123,0,0,0,0
1124,0,0,4,2
1125,1,0,1,1
1126,1,-1,4,2
1127,1,0,0,0
1128,1,0,0,0
1129,1,0,0,1
1130,1,0,4,2
1131,1,0,0,0
1132,1,0,1,1
1133,1,0,4,2
1134,1,0,0,0
1135,1,0,0,0
1136,1,0,1,1
1137,1,0,1,1
1138,0,0,1,1
1139,0,0,1,1
1140,0,0,0,0
1141,1,-1,4,2
1142,1,0,1,1
1143,1,0,0,0
1144,1,0,0,0
1145,1,0,1,1
1146,0,0,1,1
1147,1,0,0,0
1148,1,0,1,1
1149,1,0,1,1
1150,1,0,4,2
1151,1,0,0,0
1152,1,0,0,0
1153,1,0,1,1
1154,1,0,1,1
1155,1,0,0,0
1156,1,0,4,2
1157,1,0,4,2
1158,1,0,0,0
1159,1,-1,2,4
1160,1,0,1,1
1161,1,0,1,1
1162,1,0,1,1
1163,1,0,0,0
1164,0,0,0,0
1165,1,0,4,2
1166,1,-1,4,2
1167,1,0,0,0
1168,0,-1,4,2
1169,0,0,1,0
1170,1,0,0,0
1171,1,0,1,1
1172,1,0,1,1
1173,1,0,0,0
1174,1,0,0,0
1175,1,-1,4,2
1176,0,0,1,1
1177,1,0,1,1
1178,1,-1,4,2
1179,1,0,0,0
1180,0,0,0,0
1181,1,0,0,0
1182,1,-1,4,2
1183,1,0,1,1
1184,1,0,0,0
1185,1,0,1,1
1186,0,0,1,1
1187,1,-1,2,4
1188,1,0,4,2
1189,1,0,0,0
1190,1,0,1,1
1191,1,0,1,1
1192,0,0,4,2
1193,1,0,1,1
1194,1,-1,2,4
1195,1,0,0,0
1196,1,0,4,2
1197,1,0,1,1
1198,1,0,1,1
1199,0,0,4,2
1200,0,0,0,0
1201,1,0,1,1
1202,0,0,1,1
1203,0,0,1,1
1204,1,-1,2,4
1205,1,0,0,0
1206,0,0,4,2
1207,1,0,1,1
1208,1,0,1,1
1209,1,0,4,2
1210,1,-1,2,4
1211,1,-1,4,2
1212,1,0,0,0
1213,1,0,4,2
1214,1,0,4,2
1215,1,0,1,1
1216,1,0,1,1
1217,0,0,1,1
1218,1,0,0,0
1219,0,0,0,0
1220,1,0,0,0
1221,1,-1,2,4
1222,0,0,1,1
1223,1,0,1,1
1224,0,0,0,0
1225,1,-1,2,4
1226,1,0,1,1
1227,1,0,0,0
1228,1,-1,2,4
1229,0,0,1,1
1230,0,0,4,2
1231,1,0,1,1
1232,0,0,1,1
1233,1,0,1,1
1234,1,0,1,1
1235,1,0,1,1
1236,1,0,0,0
1237,0,-1,2,4
1238,1,0,0,0
1239,1,0,1,1
1240,0,0,1,1
1241,1,0,0,0
1242,1,-1,2,4
1243,0,0,0,0
1244,1,-1,2,4
1245,0,0,4,2
1246,1,0,0,0
1247,1,0,1,0
1248,1,-1,2,4
1249,1,0,0,0
1250,1,0,0,0
1251,1,0,1,1
1252,1,0,0,0
1253,1,0,0,0
1254,1,0,0,0
1255,0,-1,3,3
1256,1,0,0,0
1257,0,0,0,0
1258,1,0,1,1
1259,1,0,1,1
1260,1,0,0,0
1261,0,0,0,0
1262,1,0,4,2
1263,1,0,1,1
1264,1,0,0,0
1265,1,-1,4,2
1266,1,0,0,0
1267,1,0,1,1
1268,0,0,0,0
1269,1,0,1,1
1270,1,0,0,0
1271,1,0,1,1
1272,1,0,1,1
1273,1,0,1,1
1274,1,0,0,0
1275,1,0,0,0
1276,1,0,4,2
1277,1,-1,4,2
1278,1,-1,4,2
1279,1,-1,4,2
1280,0,0,0,0
1281,1,0,1,1
1282,1,0,1,1
1283,1,0,0,0
1284,1,0,4,2
1285,0,0,4,2
1286,1,0,4,2
1287,1,0,4,2
1288,1,0,0,0
1289,1,0,1,1
1290,0,0,0,0
1291,0,0,1,1
1292,1,0,0,0
1293,0,0,0,0
1294,1,0,0,0
1295,0,0,1,1
1296,1,0,0,0
1297,1,-1,2,4
1298,1,0,1,1
1299,1,0,0,0
1300,1,0,1,1
1301,1,0,4,1
1302,0,0,1,1
1303,1,0,1,1
1304,1,0,1,1
1305,1,0,4,2
1306,1,0,1,1
1307,0,0,0,0
1308,1,-1,2,4
1309,1,0,1,1
1310,1,0,0,0
1311,1,-1,4,2
1312,1,-1,2,4
1313,1,0,0,0
1314,1,-1,4,2
1315,1,0,1,1
1316,1,0,1,0
1317,1,0,0,0
1318,1,0,1,1
1319,1,0,0,0
1320,1,0,1,1
1321,1,0,1,1
1322,1,0,0,0
1323,1,0,1,1
1324,0,0,0,0
1325,1,0,0,0
1326,0,0,4,2
1327,1,0,1,1
1328,0,0,0,0
1329,1,0,4,2
1330,1,0,0,0
1331,0,0,0,0
1332,1,0,4,2
1333,1,0,1,1
1334,0,0,0,0
1335,1,0,1,1
1336,0,0,1,1
1337,1,0,1,1
